Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Binder for solvent-based enamels,Industrial,Synolac 8251,Short Oil Alkyd Resin,(C9H10O3)x.(C3H6O3)y,1.05-1.10,60-80,1.52-1.55,Gloss retention; chemical resistance; durability,https://www.synthomer.com/products/synolac-8251
Binder for marine coatings,Marine,Setalux 17-1743,Hydroxyl Functional Acrylic Resin,C10H14O4.C4H6O2 (copolymer),1.03-1.06,70-85,1.50-1.52,Salt spray resistance; UV stability; adhesion,https://www.allnex.com/en/product/setalux-17-1743
Binder for wood coatings,Furniture,Duroxyn VEF 1359,Saturated Polyester Resin,(C10H8O4)x,1.10-1.15,80-100,1.56-1.58,Flexibility; impact resistance; gloss,https://www.synthomer.com/products/duroxyn-vef-1359
Binder for automotive basecoats,Automotive,Acrythane SC601,Polyester Polyol Resin,(C10H8O4)x.(C3H6O2)y,1.08-1.12,90-100,1.54-1.57,Hardness; chemical resistance; leveling,https://ppgrefinish.com/en-US/Products/Acrythane-SC601/
Binder for UV protective exterior paints,Architectural,NeoCryl XK-98,Styrene Acrylic Latex,(C8H8)x.(C4H6O2)y,1.03-1.06,75-85,1.49-1.52,Weatherability; crack resistance; alkali resistance,https://www.avient.com/products/neocryl-xk-98
Binder for flexible coil coatings,Coil Coating,Synfac 8022,Polyester Resin,C8H8O3.C6H10O4 (copolymer),1.10-1.13,95-110,1.55-1.58,Flexibility; solvent resistance; adhesion,https://www.synthomer.com/products/synfac-8022
Binder for radiation-curing flexo inks,Packaging,Sartomer CN 104,Aliphatic Urethane Diacrylate,C21H30N2O6,1.07-1.10,0-200,1.50-1.52,Fast cure; toughness; low viscosity,https://www.sartomer.com/product-cn104
Binder for high-build epoxy primers,Industrial,Epon 828,Bisphenol A Epoxy Resin,C21H24O4,1.16-1.18,64-76,1.57-1.59,Corrosion protection; adhesion; chemical resistance,https://www.huntsman.com/advanced_materials/a/Epon-828
Binder for impact-resistant coatings,Automotive,Rucote NI-304,Saturated Carboxyl Polyester,(C10H8O4)x.(C4H6O4)y,1.20-1.23,100-120,1.56-1.60,Impact resistance; flow; gloss retention,https://www.allnex.com/product/rucote-ni-304
Binder for floor coatings,Construction,Beckopox EP 140,Wasserverdünnbares Epoxidharz,C21H24O4 (aqueous dispersion),1.10-1.14,70-90,1.57-1.59,Abrasion resistance; adhesion; chemical durability,https://www.allnex.com/product/beckopox-ep-140-w
Binder for flexible decorative coatings,Architectural,Neocryl A-2092,Styrene Acrylic Copolymer,(C8H8)x.(C5H8O2)y,1.03-1.06,70-90,1.48-1.51,Elasticity; water resistance; UV durability,https://www.avient.com/products/neocryl-a-2092
Binder for solvent-free epoxy coatings,Industrial,EPIKOTE Resin 1001,Bisphenol A Epoxy Resin,C21H24O4,1.15-1.18,64-76,1.57-1.59,Chemical resistance; hardness; corrosion protection,https://www.hexion.com/en-US/product/epikote-resin-1001
Binder for 2K polyurethane systems,Automotive,Desmodur N3300,Aliphatic Polyisocyanate,C21H30N3O6,1.10-1.20,0-200,1.50-1.52,UV stability; crosslinking ability; durability,https://solutions.covestro.com/en/products/desmodur/desmodur-n-3300
Binder for alkali-resistant coatings,Construction,Syntran 5760,Self-Crosslinking Styrene Acrylic,(C8H8)x.(C4H6O2)y,1.02-1.05,70-85,1.48-1.50,Alkali resistance; scrub resistance; adhesion,https://www.ascendperformance.com/products/syntran-5760
Binder for can coatings,Packaging,Valres 3600,Phenolic Modified Polyester,(C9H10O2)x.(C8H6O3)y,1.10-1.14,90-100,1.55-1.58,Heat resistance; metal adhesion; corrosion protection,https://www.valresa.com/en/productos/resinas/valres-3600
Binder for high-gloss UV curable coatings,Furniture,EBECRYL 5129,Aromatic Polyester Acrylate,C22H28O6,1.10-1.15,0-200,1.52-1.54,Gloss retention; chemical resistance; fast curing,https://www.allnex.com/en/product/ebecryl-5129
Binder for high solids alkyd systems,Industrial,Setal 52-1314,Long Oil Alkyd Resin,(C21H34O4)n,1.00-1.10,50-70,1.51-1.54,Open time; gloss; flexibility,https://www.allnex.com/en/product/setal-52-1314
Binder for anti-graffiti coatings,Infrastructure,LUCITE L-100,Methyl Methacrylate Polymer,(C5H8O2)n,1.12-1.18,160-180,1.49-1.51,Chemical resistance; hardness; clarity,https://www.luciteinternational.com/l-100-technical-data
Binder for flexible coil coatings,Coil Coating,VESTICOAT EP 2000,Polyester Modified Epoxy,C22H28O4.C21H24O4,1.10-1.14,70-90,1.56-1.59,Flexibility; solvent resistance; corrosion protection,https://www.evonik.com/product/vesticoat-ep-2000
Binder for electro-deposition coatings,Automotive,ELATUR DPT,Polyester Ether Resin,C20H38O6,1.05-1.10,0-200,1.50-1.53,Electrostatic stability; flexibility; conductivity,https://corporate.evonik.com/en/elatur-dpt
