Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Extender for gloss retention in topcoats,Automotive,ICECAP K40,Calcined Kaolin,Al2Si2O5(OH)4,2.6-2.7,1000-10000,1.56-1.58,Gloss control; heat resistance; dispersion,https://www.imerys.com/products/icecap-k40
Filler for barrier properties in corrosion-resistant coatings,Industrial,SHIELDEX AC5,Lamellar Aluminum Silicate,KAl2(AlSi3O10)(OH)2,2.7-2.9,1100-1150,1.58-1.60,Flake reinforcement; chemical inertness; barrier effect,https://www.thecarycompany.com/shieldex-ac5
Extender for low viscosity in high solids paints,Construction,NYAD M325,Needle-Shaped Wollastonite,CaSiO3,2.9-3.1,1540-1560,1.55-1.70,Low oil absorption; reinforcement; workability,https://www.imerys.com/products/nyad-wollastonite
Filler for scratch resistance in wood finishes,Furniture,SATINTONE SP-33,Calcined Aluminum Silicate,Al2Si2O5(OH)4,2.5-2.6,1000-10000,1.56-1.58,Scratch resistance; smooth finish; flatting agent,https://www.basf.com/global/en/products/SATINTONE-SP-33
Filler for chemical resistance in metal primers,Marine,TIOXIDE TR28,Rutile Titanium Dioxide,TiO2,4.1-4.3,1840-1850,2.49-2.54,UV resistance; whiteness; chemical durability,https://www.kronostio2.com/en/products/tioxide-tr28
Filler for brightness and gloss in printing inks,Printing,SCHWEGMANN 7130,Precipitated Silica,SiO2,2.1-2.3,1600-10000,1.46-1.47,Brightness; rheology control; suspension aid,https://www.schwegmannnet.de/en/products/silicas/schwegmann-7130
Filler for lightweight coatings,Packaging,EXPANCEL 930DU,Expandable Microspheres,C2H4.C3H6 (copolymer shell),0.02-0.03,120-150,,Weight reduction; texture control; compressibility,https://www.expancel.com/products/expancel-930du
Filler for rheology and matting in waterborne paints,Architectural,ACEMATT OK 412,Amorphous Silica,SiO2,2.2-2.3,1600-10000,1.40-1.50,Matting; scratch resistance; viscosity control,https://www.evonik.com/en/products/acematt-ok-412
Extender for hiding power in primers,Industrial,FINNTALC M15,Mineral Talc,Mg3Si4O10(OH)2,2.7-2.8,900-1000,1.57-1.59,Opacity; smooth finish; suspension aid,https://www.mondo-minerals.com/products/finntalc-m15
Filler for fire retardancy in coatings,Infrastructure,ALFRIMAL 101,Ath Flame Retardant,Al(OH)3,2.4-2.5,300-320,1.57-1.59,Fire retardancy; smoke suppression; thermal stability,https://www.nabaltec.de/en/products/flame-retardants/alfrimal
Filler for UV stability in exterior coatings,Architectural,TIOWHITE R-FC5,Anatase Titanium Dioxide,TiO2,3.8-3.9,1830-1850,2.49-2.52,UV protection; whiteness; chemical resistance,https://www.tayca.co.jp/en/product/chemicals/titaniumdioxide.html
Filler for improved abrasion resistance,Industrial,DEKORIT 222,Aluminum Oxide,Al2O3,3.9-4.0,2050-2072,1.76-1.77,Hardness; wear resistance; thermal stability,https://www.matweb.com/search/datasheet.aspx?matguid=8f727c58a6cf46b38ef017af4781a0f0
Filler for anti-slip floor coatings,Construction,BAIRDSIL 720,Crystalline Silica,SiO2,2.6-2.7,1710-1725,1.54-1.55,Friction control; hardness; chemical inertness,https://www.u-s-silica.com/products/bairdsil-720
Extender for flatting and anti-settling,Furniture,AEROSIL 200,Fumed Silica,SiO2,2.2-2.3,1600-10000,1.46-1.47,Matting; thixotropy; pigment stabilization,https://www.aerosil.com/product/aerosil/en/products/aerosil-200.html
Filler for lightweight marine coatings,Marine,CENOSPHERE G-200,Alumino-Silicate Microsphere,Al2O3.SiO2,0.4-0.6,1200-10000,1.50-1.55,Low density; insulation; anti-corrosion,https://www.cenosphere.in/product-cenosphere-g200/
Extender for mechanical reinforcement,Automotive,TRANSLITE M10,Natural Wollastonite,CaSiO3,2.8-3.1,1540-1560,1.60-1.65,Strengthening; reinforcement; crack resistance,https://www.wollastonite.org/pdf/industrialapplications.pdf
Filler for solvent absorption in primers,Industrial,CARBONATE 10G,Magnesium Carbonate,MgCO3,2.9-3.0,350-400,1.45-1.55,Oil absorption; smooth dispersion; whiteness,https://www.chemicalbook.com/ProductChemicalPropertiesCB7701523_EN.htm
Extender for crack bridging in masonry paints,Construction,HESSLIGHT 99,Perlite,Na2O.K2O.Al2O3.SiO2,0.9-1.1,890-1100,1.47-1.50,Thermal insulation; low density; flexibility,https://www.hessperlite.com/technical.htm
Filler for primer texture control,Infrastructure,BASOFIX 700,Precipitated Barium Sulfate,BaSO4,4.3-4.5,1580-1600,1.64-1.65,Fineness; brightness; suspension stability,https://www.solvay.com/en/product/basofix
Extender for sheen uniformity,Decorative,HYDRASIL 301,Hydrous Aluminum Silicate,Al2O3.2SiO2.2H2O,2.5-2.7,1000-10000,1.56-1.58,Sheen control; surface smoothness; inertness,https://www.kaminllc.com/products/hydrasil-301
