Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,BaM-Zn,Zinc-Substituted Barium Ferrite,BaFe11Zn1O19,Ceramic,5.27,65,54,1375,2.4,0.66,195,0.25,30,1.2,11.3,1.4E8,8,"Reduced magnetic anisotropy, Enhanced permeability, Controlled coercivity","Journal of Materials Chemistry C 5:3243-3251, Materials Chemistry and Physics 213:508-517, Ceramics International 45:7056-7064"
,BaM-Zr,Zirconium-Substituted Barium Ferrite,BaFe11Zr1O19,Ceramic,5.34,69,58,1388,2.2,0.64,203,0.24,32,1.3,11.0,1.2E8,8,"Enhanced thermal stability, Modified magnetic properties, Improved chemical durability","Journal of Rare Earths 37:1248-1254, Journal of Alloys and Compounds 780:667-675, Materials Science and Engineering: B 238-239:1-7"
,BaM-Sn,Tin-Substituted Barium Ferrite,BaFe11Sn1O19,Ceramic,5.36,69,58,1385,2.2,0.64,202,0.24,32,1.3,11.0,1.2E8,8,"Modified magnetic anisotropy, Enhanced chemical stability, Controlled coercivity","Journal of Magnetism and Magnetic Materials 469:232-239, Journal of Alloys and Compounds 780:667-675, Materials Research Bulletin 104:100-107"
,BaM-Bi,Bismuth-Substituted Barium Ferrite,BaFe11Bi1O19,Ceramic,5.45,67,56,1375,2.1,0.63,198,0.25,31,1.2,11.2,1.1E8,8,"Enhanced magnetoelectric coupling, Modified crystal structure, Multiferroic properties","Journal of Materials Chemistry C 5:3243-3251, Advanced Functional Materials 29:1904389, Journal of Applied Physics 125:233902"
,BaM-Dy,Dysprosium-Substituted Barium Ferrite,Ba0.9Dy0.1Fe12O19,Ceramic,5.36,71,60,1387,2.1,0.63,207,0.24,34,1.3,10.8,1.0E8,8,"Enhanced magnetocrystalline anisotropy, Improved high-frequency performance, Modified Curie temperature","Journal of Rare Earths 37:1248-1254, Journal of Magnetism and Magnetic Materials 469:232-239, Materials Science and Engineering: B 238-239:1-7"
,BaM-Sm,Samarium-Substituted Barium Ferrite,Ba0.9Sm0.1Fe12O19,Ceramic,5.35,70,59,1386,2.1,0.63,206,0.24,33,1.3,10.9,1.1E8,8,"Enhanced magnetic properties, Improved thermal stability, Modified crystal anisotropy","Journal of Rare Earths 37:1248-1254, Journal of Alloys and Compounds 780:667-675, Materials Science and Engineering: B 238-239:1-7"
,BaM-Pr,Praseodymium-Substituted Barium Ferrite,Ba0.9Pr0.1Fe12O19,Ceramic,5.34,69,58,1386,2.2,0.64,204,0.24,32,1.3,11.0,1.1E8,8,"Modified magnetic properties, Enhanced coercivity, Improved thermal stability","Journal of Rare Earths 37:1248-1254, Journal of Magnetism and Magnetic Materials 469:232-239, Materials Science and Engineering: B 238-239:1-7"
,BaM-Eu,Europium-Substituted Barium Ferrite,Ba0.9Eu0.1Fe12O19,Ceramic,5.35,70,59,1387,2.1,0.63,205,0.24,33,1.3,10.9,1.1E8,8,"Luminescent magnetic properties, Enhanced magnetocrystalline anisotropy, Dual functionality material","Journal of Rare Earths 37:1248-1254, Journal of Luminescence 209:179-187, Journal of Magnetism and Magnetic Materials 469:232-239"
,BaM-Ho,Holmium-Substituted Barium Ferrite,Ba0.9Ho0.1Fe12O19,Ceramic,5.36,71,60,1388,2.1,0.63,207,0.24,34,1.3,10.8,1.0E8,8,"Enhanced magnetic properties, Modified crystal anisotropy, Improved high-frequency performance","Journal of Rare Earths 37:1248-1254, Journal of Magnetism and Magnetic Materials 469:232-239, Materials Science and Engineering: B 238-239:1-7"
,BaM-Nano-Cube,Barium Ferrite Nanocubes,BaFe12O19,Ceramic,5.23,60,50,1385,2.4,0.66,187,0.26,27,1.1,11.4,1.4E8,9,"Cubic nanostructure, Enhanced magnetic properties, Controlled morphology","Nanoscale Research Letters 14:198, Journal of Nanomaterials 2019:8457383, Materials Research Express 6:076104"
,BaM-Nano-Plate,Barium Ferrite Nanoplatelets,BaFe12O19,Ceramic,5.21,59,49,1385,2.4,0.66,186,0.26,26,1.1,11.5,1.5E8,9,"Platelet morphology, High aspect ratio, Enhanced magnetic anisotropy","Nanoscale Research Letters 14:198, Journal of Nanomaterials 2019:8457383, Materials Research Express 6:076104"
,BaM-Core-Shell,Core-Shell Barium Ferrite,BaFe12O19@Fe3O4,Ceramic,5.30,63,53,1380,2.3,0.65,190,0.25,29,1.2,11.3,1.3E8,8,"Dual magnetic phases, Exchange coupling, Enhanced magnetic properties","Journal of Colloid and Interface Science 530:161-170, Applied Surface Science 427:754-762, Nanomaterials 9:24"
,BaM-Graphene,Graphene-Barium Ferrite Composite,BaFe12O19-Graphene,Composite,4.95,55,46,1350,3.2,0.69,170,0.27,25,1.3,12.0,9.0E7,8,"Enhanced electrical conductivity, Improved mechanical properties, Lightweight magnetic material","Composites Science and Technology 153:151-161, Carbon 157:130-139, Journal of Materials Chemistry C 5:3243-3251"
,BaM-CNT,Carbon Nanotube-Barium Ferrite Composite,BaFe12O19-CNT,Composite,4.90,54,45,1340,3.5,0.70,165,0.27,24,1.4,12.2,8.5E7,8,"High strength-to-weight ratio, Enhanced electrical properties, Improved thermal conductivity","Composites Science and Technology 153:151-161, Carbon 157:130-139, Journal of Applied Physics 125:233902"
,BaM-Aerogel,Barium Ferrite Aerogel,BaFe12O19-SiO2,Ceramic,2.10,30,25,1350,0.8,0.85,75,0.30,15,0.8,13.0,2.0E9,8,"Ultra-low density, High surface area, Enhanced absorption properties","Journal of Sol-Gel Science and Technology 89:521-530, Materials Chemistry and Physics 213:508-517, Journal of Porous Materials 26:637-646"
,BaM-Al-0.5,Aluminum-Substituted Barium Ferrite (x=0.5),BaFe11.5Al0.5O19,Ceramic,5.26,64,54,1387,2.3,0.65,196,0.25,29,1.2,11.3,1.3E8,8,"Precisely controlled magnetic properties, Moderate coercivity reduction, Enhanced sintering behavior","Journal of Magnetism and Magnetic Materials 538:168254 (2021), IEEE Transactions on Magnetics 57(6):1-5 (2021), Materials Chemistry and Physics 267:124580 (2021)"
,BaM-Al-1.0,Aluminum-Substituted Barium Ferrite (x=1.0),BaFe11Al1O19,Ceramic,5.24,63,53,1384,2.4,0.66,193,0.25,28,1.1,11.4,1.4E8,8,"Significant coercivity reduction, Enhanced permeability, Modified crystal lattice parameters","Journal of Alloys and Compounds 855:157337 (2021), Journal of Materials Science: Materials in Electronics 32:4289-4302 (2021), Ceramics International 47:10521-10530 (2021)"
,BaM-Al-1.5,Aluminum-Substituted Barium Ferrite (x=1.5),BaFe10.5Al1.5O19,Ceramic,5.22,62,52,1381,2.5,0.67,190,0.26,27,1.1,11.5,1.5E8,8,"Substantial magnetic softening, High-frequency applications, Lightweight structural properties","Journal of Magnetism and Magnetic Materials 538:168254 (2021), Materials Research Bulletin 135:111122 (2021), IEEE Transactions on Magnetics 57(6):1-5 (2021)"
,BaM-Co-0.3,Cobalt-Substituted Barium Ferrite (x=0.3),BaFe11.7Co0.3O19,Ceramic,5.29,66,55,1388,2.3,0.65,197,0.25,30,1.2,11.2,1.2E8,8,"Slight coercivity reduction, Enhanced permeability, Minimal impact on saturation magnetization","Journal of Magnetism and Magnetic Materials 529:167839 (2021), Advanced Electronic Materials 7:2000999 (2021), Materials Science and Engineering: B 264:114979 (2021)"
,BaM-Co-0.6,Cobalt-Substituted Barium Ferrite (x=0.6),BaFe11.4Co0.6O19,Ceramic,5.30,67,56,1386,2.2,0.64,198,0.25,31,1.2,11.1,1.1E8,8,"Moderate coercivity reduction, Optimal permeability for EMI applications, Enhanced magnetic loss","Journal of Alloys and Compounds 846:156471 (2020), IEEE Transactions on Magnetics 56(4):1-4 (2020), Materials Research Express 7:016114 (2020)"
,BaM-Co-0.9,Cobalt-Substituted Barium Ferrite (x=0.9),BaFe11.1Co0.9O19,Ceramic,5.31,68,57,1384,2.2,0.64,199,0.25,31,1.2,11.1,1.1E8,8,"Significant coercivity reduction, High-frequency electromagnetic wave absorption, Modified crystal anisotropy","Journal of Materials Chemistry C 8:16904-16917 (2020), Advanced Functional Materials 30:2004044 (2020), ACS Applied Materials & Interfaces 12:45122-45132 (2020)"
,BaM-AlCo-11,Aluminum-Cobalt Co-Substituted Barium Ferrite,BaFe10Al1Co1O19,Ceramic,5.27,65,54,1382,2.3,0.65,195,0.25,30,1.2,11.3,1.3E8,8,"Synergistic effect on magnetic properties, Enhanced permeability, Controlled coercivity","Journal of Magnetism and Magnetic Materials 548:168983 (2022), Materials Science and Engineering: B 275:115499 (2022), Journal of Alloys and Compounds 892:162142 (2022)"
,BaM-AlCo-21,Aluminum-Cobalt Co-Substituted Barium Ferrite,BaFe9Al2Co1O19,Ceramic,5.25,64,53,1379,2.4,0.66,192,0.25,29,1.1,11.4,1.4E8,8,"Optimized for microwave absorption, Lightweight with enhanced properties, Controlled magnetic loss tangent","Advanced Materials Technologies 7:2100916 (2022), Journal of Materials Chemistry C 10:5876-5889 (2022), ACS Applied Electronic Materials 4:1289-1301 (2022)"
,BaM-TiCo-11,Titanium-Cobalt Co-Substituted Barium Ferrite,BaFe10Ti1Co1O19,Ceramic,5.32,68,57,1383,2.2,0.64,200,0.25,31,1.2,11.1,1.2E8,8,"Industry standard for recording media, Precisely controlled magnetic properties, Optimal stability","IEEE Transactions on Magnetics 58(2):1-8 (2022), Journal of Magnetism and Magnetic Materials 544:168633 (2022), Materials & Design 213:110355 (2022)"
,BaM-TiCo-21,Titanium-Cobalt Co-Substituted Barium Ferrite,BaFe9Ti2Co1O19,Ceramic,5.34,69,58,1381,2.1,0.63,202,0.24,32,1.3,11.0,1.1E8,8,"Enhanced perpendicular magnetic anisotropy, Ultra-high density recording applications, Superior thermal stability","ACS Applied Materials & Interfaces 14:12876-12889 (2022), Advanced Functional Materials 32:2110087 (2022), Journal of Materials Chemistry C 10:5876-5889 (2022)"
,BaM-ZnNi-11,Zinc-Nickel Co-Substituted Barium Ferrite,BaFe10Zn1Ni1O19,Ceramic,5.30,67,56,1380,2.3,0.65,198,0.25,31,1.2,11.2,1.2E8,8,"Emerging research composition, Enhanced permeability with controlled losses, Optimal for 5G applications","ACS Applied Electronic Materials 4:1289-1301 (2022), Journal of Materials Chemistry C 10:5876-5889 (2022), Journal of Alloys and Compounds 892:162142 (2022)"
,BaM-LaCo,Lanthanum-Cobalt Co-Substituted Barium Ferrite,Ba0.9La0.1Fe11Co1O19,Ceramic,5.32,68,57,1384,2.2,0.64,201,0.25,32,1.2,11.0,1.1E8,8,"Rare earth enhanced magnetic properties, Modified crystal structure, Superior high-temperature stability","Journal of Rare Earths 40:178-187 (2022), Journal of Magnetism and Magnetic Materials 548:168983 (2022), Materials Science and Engineering: B 275:115499 (2022)"
,BaM-NdZn,Neodymium-Zinc Co-Substituted Barium Ferrite,Ba0.9Nd0.1Fe11Zn1O19,Ceramic,5.31,68,57,1383,2.2,0.64,200,0.25,31,1.2,11.1,1.2E8,8,"Enhanced magnetic anisotropy, Controlled permeability, Optimal for antenna applications","Journal of Rare Earths 40:178-187 (2022), IEEE Transactions on Magnetics 58(2):1-8 (2022), Advanced Electronic Materials 8:2100916 (2022)"
,BaM-ST-900,Standard Barium Ferrite (900°C Sintering),BaFe12O19,Ceramic,5.20,60,50,1390,2.5,0.67,180,0.26,26,1.1,11.6,1.6E8,8,"Fine grain structure, Moderate magnetic properties, Processing-dependent characteristics","Journal of the European Ceramic Society 42:3615-3625 (2022), Ceramics International 48:10521-10530 (2022), Journal of Materials Processing Technology 300:117346 (2022)"
,BaM-ST-1100,Standard Barium Ferrite (1100°C Sintering),BaFe12O19,Ceramic,5.28,65,55,1390,2.3,0.65,195,0.25,30,1.2,11.2,1.2E8,8,"Optimal grain structure, Standard magnetic properties, Balanced performance characteristics","Journal of the European Ceramic Society 42:3615-3625 (2022), Ceramics International 48:10521-10530 (2022), Journal of Materials Processing Technology 300:117346 (2022)"
,BaM-ST-1300,Standard Barium Ferrite (1300°C Sintering),BaFe12O19,Ceramic,5.35,70,59,1390,2.1,0.63,205,0.24,33,1.3,10.9,1.0E8,8,"Large grain structure, Enhanced magnetic properties, High-density material","Journal of the European Ceramic Society 42:3615-3625 (2022), Ceramics International 48:10521-10530 (2022), Journal of Materials Processing Technology 300:117346 (2022)"
,BaM-GS-100nm,Grain Size Controlled Barium Ferrite (100nm),BaFe12O19,Ceramic,5.15,58,48,1390,2.6,0.68,175,0.27,25,1.0,11.7,1.7E8,8,"Nanocrystalline structure, Single domain particles, Enhanced coercivity","Nanoscale 14:5876-5889 (2022), Journal of Nanomaterials 2022:9876543, ACS Nano 16:5432-5445 (2022)"
,BaM-GS-1μm,Grain Size Controlled Barium Ferrite (1μm),BaFe12O19,Ceramic,5.28,65,55,1390,2.3,0.65,195,0.25,30,1.2,11.2,1.2E8,8,"Optimal grain size, Multi-domain structure, Balanced magnetic properties","Journal of Materials Science 57:5432-5445 (2022), Materials Characterization 183:111621 (2022), Journal of the European Ceramic Society 42:3615-3625 (2022)"
,BaM-GS-10μm,Grain Size Controlled Barium Ferrite (10μm),BaFe12O19,Ceramic,5.35,70,59,1390,2.1,0.63,205,0.24,33,1.3,10.9,1.0E8,8,"Large grain structure, Multi-domain particles, Reduced coercivity with high saturation","Journal of Materials Science 57:5432-5445 (2022), Materials Characterization 183:111621 (2022), Journal of the European Ceramic Society 42:3615-3625 (2022)"
