Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Energy Density (Wh/kg),Voltage (V),Cycle Life (cycles),Ionic Conductivity (S/cm),Fast Charging (C rate),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Thermal Stability (C),Crystal System,Recyclability Index (%),Property Overlap,Reference
mp-6349172,LNMO-HE,High-Energy Lithium-Rich Layered Oxide,Li1.2Ni0.2Mn0.6O2,Battery Material,4.32,280.0,3.8,800,0.0009,0.5,70,60,950,2.2,0.88,180.0,Monoclinic,68,"Very high specific capacity (>250 mAh/g), high-voltage plateau, voltage fade challenge",Nature Energy 5 (2020) 213-221
mp-5738146,Al2O3-LCO,Alumina-Coated Lithium Cobalt Oxide,LiCoO2@Al2O3,Battery Material,5.05,155.0,3.9,1200,0.0008,1.5,,,920,4.3,0.76,180.0,Hexagonal,67,"Surface-stabilized cathode, improved cycle life, reduced capacity fade, enhanced thermal stability",ACS Applied Materials & Interfaces 13 (2021) 7432-7441
mp-8295714,CMC-SBR,Carboxymethyl Cellulose with Styrene-Butadiene Rubber,C8H16O8-(C4H6)n-,Battery Material,1.12,,,,1.0×10^-15,,,2.5,,0.12,1.45,180.0,Amorphous,98,"Eco-friendly aqueous binder, excellent adhesion, improved electrode integrity, reduces manufacturing costs",Journal of The Electrochemical Society 167 (2020) 160534
mp-7346219,LPS-Argyrodite,Lithium Phosphorus Sulfide Argyrodite,Li6PS5Cl,Ceramic,1.63,,3.5,1200,0.0056,1.8,45,38,550,0.2,0.68,160.0,Cubic,66,"Superior room-temperature ionic conductivity (>5 mS/cm), facile synthesis, excellent mechanical stability with Li metal",Energy & Environmental Science 13 (2020) 1843-1853
mp-8617524,Na3V2(PO4)3,Sodium Vanadium Phosphate,Na3V2(PO4)3,Battery Material,3.05,120.0,3.4,4000.0,0.00095,5.0,105,90,520,2.5,0.80,200.0,Rhombohedral,85,"Sodium-ion battery cathode, abundant elements, sustainable alternative to Li-ion, high rate capability",Advanced Energy Materials 12 (2022) 2103788
mp-7281953,P2-NaxMnO2,Layered Sodium Manganese Oxide,NaxMnO2,Battery Material,3.78,140.0,3.0,2000.0,0.0006,3.0,90,75,890,3.1,0.74,170.0,Hexagonal,82,"High-performance sodium-ion cathode, minimal Jahn-Teller distortion, structural stability during cycling",Nature Communications 13 (2022) 795
mp-9726813,HC-Na,Hard Carbon Sodium-ion Anode,C (hard carbon),Battery Material,1.55,120.0,0.1,5000.0,0.0012,2.5,55,45,2800,15.0,1.05,480.0,Amorphous,95,"Sodium-ion battery anode, large interlayer spacing, low cost, high sustainability, moderate capacity",Energy & Environmental Science 15 (2022) 854-866
mp-6237189,Mg(TFSI)2-DME,Magnesium Bis(trifluoromethanesulfonyl)imide in DME,Mg(N(SO2CF3)2)2,Battery Material,1.78,,2.5,1000,0.003,0.8,,,180,0.45,1.32,150.0,Monoclinic,76,"Multivalent battery electrolyte, high reversibility, enables dendrite-free Mg plating, high energy density potential",ACS Energy Letters 7 (2022) 2404-2412
mp-5942671,MgMn2O4,Magnesium Manganese Oxide Spinel,MgMn2O4,Battery Material,4.15,110.0,2.9,1500.0,0.0004,0.3,120,100,1120,2.8,0.85,300.0,Cubic,88,"Multivalent cathode, 2+ charge carrier, high theoretical capacity, minimal volume change",Advanced Functional Materials 32 (2022) 2110763
mp-8246187,PTCDA,Perylene Tetracarboxylic Dianhydride,C24H8O6,Battery Material,1.73,225.0,2.6,500.0,0.0003,1.5,75,60,420,0.4,1.25,200.0,Monoclinic,95,"Organic cathode material, sustainable, multiple redox centers, high theoretical capacity",Nature Energy 7 (2022) 718-728
mp-5619427,Li-TEMPO,Lithium 2,2,6,6-Tetramethylpiperidine-1-oxyl,LiC9H18NO,Battery Material,1.20,190.0,3.6,800.0,0.0005,5.0,35,25,145,0.3,1.45,110.0,Orthorhombic,98,"Radical-based organic cathode, ultrafast kinetics, renewable precursor materials, high power density",Journal of the American Chemical Society 144 (2022) 6104-6115
mp-6723491,NASICON-Al,Aluminum-doped NASICON,Li1.3Al0.3Ti1.7(PO4)3,Ceramic,2.95,,4.8,3000,0.0025,1.2,130,115,1450,1.1,0.70,700.0,Rhombohedral,77,"Low-cost solid electrolyte, aluminum stabilized structure, air-stable, compatible with high-voltage cathodes",Materials Today Energy 24 (2022) 100945
mp-8916573,Li3Bi,Lithium Bismuthide,Li3Bi,Alloy,4.03,520.0,0.7,450.0,0.003,8.0,120,105,1145,10.5,0.36,250.0,Cubic,65,"Ultra-high capacity anode (385 mAh/g), minimal volume change during cycling, high electronic conductivity",Energy Storage Materials 45 (2022) 378-386
