Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Ryton® XK2340,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,140,190,1,240,1.67,10.0,13000,4.5,0.02,25.0,"Superior thermal stability, excellent mechanical properties, chemical resistance, flame retardancy",https://www.solvay.com/en/brands/ryton-pps
,Tecnoflon® FKM,Fluoroelastomer (FKM),(C2H2F2)n,Polymer,75,15,200,200,1.85,,,,0.01,20.0,"Excellent high-temperature resistance, chemical resistance, sealing properties, low compression set",https://www.solvay.com/en/brands/tecnoflon
,Tecnoflon® PFR,Perfluoroelastomer (FFKM),(C2F4)n,Polymer,80,18,150,260,2.00,,,,0.01,22.0,"Superior chemical resistance, extreme temperature resistance, excellent sealing properties",https://www.solvay.com/en/brands/tecnoflon
,Tecnoflon® VPL,Fluoroelastomer (FKM),(C2H2F2)n,Polymer,72,14,220,190,1.82,,,,0.02,19.5,"Low temperature flexibility, excellent chemical resistance, good compression set, sealing properties",https://www.solvay.com/en/brands/tecnoflon
,KetaSpire® KT-820,Polyetheretherketone (PEEK),(C19H12O3)n,Polymer,126,95,5,250,1.30,14.0,3900,7.5,0.5,20.0,"Excellent mechanical properties, extreme temperature resistance, chemical resistance, wear resistance",https://www.solvay.com/en/brands/ketaspire-peek
,KetaSpire® KT-880,Polyetheretherketone (PEEK),(C19H12O3)n,Polymer,130,100,4,260,1.32,12.0,4100,7.0,0.45,21.0,"Superior thermal stability, excellent mechanical properties, chemical resistance, dimensional stability",https://www.solvay.com/en/brands/ketaspire-peek
,KetaSpire® KT-820 CF30,Carbon Fiber Reinforced PEEK,(C19H12O3)n,Polymer,135,210,2,280,1.40,5.0,18000,9.0,0.3,19.0,"30% carbon fiber, excellent mechanical properties, thermal conductivity, chemical resistance",https://www.solvay.com/en/brands/ketaspire-peek
,AvaSpire® PAEK,Polyaryletherketone,(C19H12O3)n,Polymer,124,90,6,240,1.28,16.0,3700,8.0,0.6,19.5,"Excellent chemical resistance, high temperature resistance, good mechanical properties, processability",https://www.solvay.com/en/brands/avaspire-paek
,Radel® R-5000,Polyphenylsulfone (PPSU),(C24H16O4S)n,Polymer,123,70,8,205,1.29,17.0,2600,13.0,0.6,16.0,"Excellent impact resistance, chemical resistance, hydrolysis resistance, sterilization resistance",https://www.solvay.com/en/brands/radel-ppsu
,Radel® R-5500,Polyphenylsulfone (PPSU),(C24H16O4S)n,Polymer,125,72,7,210,1.30,15.0,2700,14.0,0.55,16.5,"Superior impact resistance, excellent chemical resistance, sterilization resistance, transparency",https://www.solvay.com/en/brands/radel-ppsu
,Radel® R-5600,Polyphenylsulfone (PPSU),(C24H16O4S)n,Polymer,126,75,6,215,1.31,22.0,2750,12.5,0.5,17.0,"High flow, excellent impact resistance, chemical resistance, hydrolysis resistance",https://www.solvay.com/en/brands/radel-ppsu
,Udel® P-1700,Polysulfone (PSU),(C27H22O4S)n,Polymer,120,70,50,175,1.24,8.0,2500,8.0,0.3,15.5,"Excellent hydrolysis resistance, good toughness, transparency, thermal stability",https://www.solvay.com/en/brands/udel-psu
,Udel® P-3703,Polysulfone (PSU),(C27H22O4S)n,Polymer,122,72,8,180,1.25,6.0,2600,7.5,0.25,16.0,"High rigidity, excellent hydrolysis resistance, thermal stability, good transparency",https://www.solvay.com/en/brands/udel-psu
,Veradel® 3000,Polyethersulfone (PESU),(C12H8O3S)n,Polymer,125,85,8,195,1.37,10.0,2700,6.5,0.7,17.0,"Excellent thermal stability, good mechanical properties, hydrolysis resistance, transparency",https://www.solvay.com/en/brands/veradel-pesu
