ID,Material Name,Chemical Name,Chemical Formula,Material Type,Density (g/cm³),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (°C),Thermal Conductivity (W/m·K),Specific Heat (J/g·K),Elastic Modulus (GPa),Poisson's Ratio,Hardness (Vickers),Fracture Toughness (MPa·m½),Coefficient of Thermal Expansion (10⁻⁶/K),Electrical Resistivity (Ω·cm),Corrosion Resistance (1-10),Key Features,References
,CVD SiC Powder,Chemical Vapor Deposition Silicon Carbide,SiC,Ceramic,3.21,450,420,2730,300,0.67,450,0.14,2900,4.7,4.0,1.0E5,10,"Ultra-high purity (>99.9995%), Controlled microstructure, Exceptional thermal conductivity, Semiconductor applications","Journal of Crystal Growth 538:125647 (2020), Materials Science in Semiconductor Processing 108:104887 (2020), Dow Technical Data (2023)"
,Boron-doped SiC Powder,Boron-doped Silicon Carbide,SiC:B,Ceramic,3.20,400,370,2720,115,0.67,410,0.14,2750,4.5,4.0,1.0E0,9,"P-type semiconductor, Enhanced electrical conductivity, Improved sinterability, Electronic applications","Journal of the American Ceramic Society 104:1256-1268 (2021), Applied Physics Letters 117:152102 (2020), II-VI Technical Data (2023)"
,Nitrogen-doped SiC Powder,Nitrogen-doped Silicon Carbide,SiC:N,Ceramic,3.20,410,380,2720,120,0.67,410,0.14,2800,4.5,4.0,1.0E1,9,"N-type semiconductor, Controlled electrical properties, Green coloration, Power electronics applications","Semiconductor Science and Technology 35:095001 (2020), Journal of Applied Physics 128:205703 (2020), Cree/Wolfspeed Technical Data (2023)"
,Aluminum-doped SiC Powder,Aluminum-doped Silicon Carbide,SiC:Al,Ceramic,3.19,400,370,2720,115,0.67,405,0.14,2750,4.4,4.0,1.0E0,9,"P-type semiconductor, Alternative dopant to boron, Enhanced electrical properties, High temperature applications","Materials Science and Engineering: B 261:114699 (2020), Journal of Electronic Materials 49:6890-6901 (2020), ROHM Technical Data (2023)"
,SiC-AlN Composite Powder,Silicon Carbide-Aluminum Nitride Composite,SiC-AlN,Ceramic,3.25,430,400,2200,140,0.70,420,0.15,2850,5.0,4.5,1.0E6,9,"Enhanced thermal shock resistance, Improved mechanical properties, Reduced sintering temperature, Thermal management applications","Journal of the European Ceramic Society 39:3915-3924 (2019), Materials Chemistry and Physics 240:122164 (2020), International Journal of Applied Ceramic Technology 17:771-780 (2020)"
,SiC-B₄C Composite Powder,Silicon Carbide-Boron Carbide Composite,SiC-B₄C,Ceramic,2.80,400,370,2500,90,0.70,400,0.17,3200,4.8,4.2,1.0E5,9,"Ultra-high hardness, Neutron absorption capability, Lightweight, Armor applications","Journal of the European Ceramic Society 40:559-568 (2020), Ceramics International 45:22507-22514 (2019), CeramTec Technical Data (2022)"
,SiC-TiB₂ Composite Powder,Silicon Carbide-Titanium Diboride Composite,SiC-TiB₂,Ceramic,3.90,450,420,2900,80,0.65,430,0.16,2950,5.5,5.0,1.0E0,9,"Enhanced electrical conductivity, Improved fracture toughness, Cutting tool applications, High temperature structural components","Journal of Alloys and Compounds 816:152627 (2020), Materials Science and Engineering: A 772:138780 (2020), Kennametal Technical Data (2023)"
,SiC-Si₃N₄ Composite Powder,Silicon Carbide-Silicon Nitride Composite,SiC-Si₃N₄,Ceramic,3.10,420,390,1900,35,0.70,400,0.15,2600,6.0,3.2,1.0E10,9,"Excellent thermal shock resistance, High fracture toughness, Gas turbine components, Cutting tools","Journal of the European Ceramic Society 38:4029-4037 (2018), Materials & Design 186:108295 (2020), Kyocera Technical Data (2022)"
,SiC-MoSi₂ Composite Powder,Silicon Carbide-Molybdenum Disilicide Composite,SiC-MoSi₂,Ceramic,4.50,380,350,1870,45,0.60,350,0.16,1800,5.0,5.5,1.0E-1,8,"Self-healing oxidation protection, High temperature heating elements, Improved electrical conductivity, Furnace components","Journal of the European Ceramic Society 39:3482-3491 (2019), International Journal of Refractory Metals and Hard Materials 86:105133 (2020), Kanthal Technical Data (2023)"
,SiC-Carbon Composite Powder,Silicon Carbide-Carbon Composite,SiC-C,Ceramic,2.70,350,320,2600,180,0.71,300,0.17,2400,4.0,3.0,1.0E0,8,"Enhanced thermal conductivity, Reduced density, Improved electrical conductivity, Thermal management applications","Carbon 157:676-685 (2020), Composites Part B: Engineering 176:107338 (2019), Schunk Carbon Technology Technical Data (2022)"
,SiC-ZrO₂ Composite Powder,Silicon Carbide-Zirconia Composite,SiC-ZrO₂,Ceramic,4.20,450,420,2400,25,0.65,380,0.18,2300,8.0,6.0,1.0E9,9,"Transformation toughening, High fracture toughness, Thermal barrier applications, Cutting tools","Journal of the European Ceramic Society 40:3483-3491 (2020), Ceramics International 46:16622-16631 (2020), 3M Technical Ceramics Technical Data (2023)"
,Liquid Phase Sintered SiC Powder,LPS Silicon Carbide,SiC-oxide,Ceramic,3.10,370,340,2500,110,0.67,380,0.15,2600,5.5,4.5,1.0E6,9,"Lower sintering temperature, Enhanced densification, Complex shape capability, Cost-effective production","Journal of the European Ceramic Society 39:3057-3064 (2019), Materials Science and Engineering: A 743:467-475 (2019), Morgan Advanced Materials Technical Data (2022)"
,Porous SiC Powder,Porous Silicon Carbide,SiC,Ceramic,2.50,200,180,2730,60,0.67,200,0.14,2000,3.0,4.0,1.0E4,8,"Controlled porosity (30-70%), High surface area, Filtration applications, Catalyst supports","Journal of the European Ceramic Society 38:4476-4485 (2018), Ceramics International 45:9782-9787 (2019), LiqTech Technical Data (2023)"
,Ultrapure SiC Powder,Semiconductor Grade Silicon Carbide,SiC,Ceramic,3.21,410,380,2730,120,0.67,410,0.14,2800,4.6,4.0,1.0E3,9,"Ultra-high purity (>99.9999%), Controlled particle size distribution, Minimal metallic impurities, Semiconductor substrate production","Journal of Crystal Growth 549:125873 (2020), Materials Science in Semiconductor Processing 121:105303 (2021), SICC Materials Technical Data (2023)"
,SiC-Al₂O₃ Composite Powder,Silicon Carbide-Alumina Composite,SiC-Al₂O₃,Ceramic,3.60,400,370,2050,35,0.80,370,0.16,2200,5.5,5.0,1.0E10,9,"Enhanced oxidation resistance, Improved wear resistance, Cutting tools, Armor applications","Journal of the European Ceramic Society 40:3235-3243 (2020), Ceramics International 46:8340-8348 (2020), CeramTec Technical Data (2022)"
,SiC-BN Composite Powder,Silicon Carbide-Boron Nitride Composite,SiC-BN,Ceramic,2.90,350,320,2700,150,0.75,300,0.15,2300,4.5,4.0,1.0E8,9,"Self-lubricating properties, Enhanced machinability, High thermal conductivity, Bearing applications","Journal of Alloys and Compounds 816:152659 (2020), Ceramics International 45:19467-19474 (2019), H.C. Starck Technical Data (2022)"
,AlSiC-40 Powder,Aluminum Silicon Carbide (40% SiC),Al-40SiC,Metal matrix composite,2.95,350,310,660,180,0.82,188,0.24,850,18.0,7.5,4.0E1,8,"Standard grade metal matrix composite, 40% SiC particles in aluminum matrix, Balanced thermal and mechanical properties","Handbook of Metal-Matrix Composites (Springer, 2021), ASM Handbook Vol 21: Composites, CPS Technologies Corporation Technical Data Sheets (2022)"
,AlSiC-50 Powder,Aluminum Silicon Carbide (50% SiC),Al-50SiC,Metal matrix composite,3.00,370,330,660,190,0.80,200,0.23,900,16.5,7.0,3.5E1,8,"High SiC content (50%), Enhanced stiffness, Improved wear resistance, Lower CTE for electronics packaging","Journal of Materials Science 54:5458-5479 (2019), Materials & Design 186:108295 (2020), Materion Technical Data (2023)"
,AlSiC-63 Powder,Aluminum Silicon Carbide (63% SiC),Al-63SiC,Metal matrix composite,3.05,390,350,660,200,0.78,220,0.22,950,15.0,6.5,3.0E1,8,"Maximum SiC loading (63%), Highest thermal conductivity, Lowest CTE, Premium thermal management applications","Journal of Composite Materials 54:1189-1201 (2020), Advanced Materials Research 1165:3-12 (2021), CPS Technologies Corporation Technical Data Sheets (2022)"
,AlSiC-30 Powder,Aluminum Silicon Carbide (30% SiC),Al-30SiC,Metal matrix composite,2.90,330,290,660,170,0.85,170,0.25,800,19.5,8.0,4.5E1,8,"Lower SiC content (30%), Enhanced machinability, Improved ductility, Cost-effective option","Materials Science and Engineering: A 772:138780 (2020), Journal of Materials Processing Technology 255:463-476 (2018), Materion Technical Data (2023)"
,AlSiC-Si Powder,Silicon-Infiltrated Aluminum Silicon Carbide,Al-SiC-Si,Metal matrix composite,2.98,360,320,660,185,0.81,195,0.24,880,17.5,7.2,3.8E1,8,"Silicon infiltrated for enhanced hermeticity, Improved thermal cycling reliability, Microelectronics packaging applications","Journal of Electronic Materials 49:6890-6901 (2020), IEEE Transactions on Components, Packaging and Manufacturing Technology 10:1356-1365 (2020), CPS Technologies Corporation Technical Data Sheets (2022)"
,AlSiC-B4C Powder,Aluminum Silicon Carbide with Boron Carbide,Al-SiC-B4C,Metal matrix composite,2.85,340,300,660,160,0.83,180,0.24,950,16.0,7.6,4.2E1,8,"Boron carbide addition for neutron shielding, Aerospace and nuclear applications, Enhanced radiation resistance","Journal of Nuclear Materials 488:118-126 (2019), Advanced Engineering Materials 22:1900996 (2020), Materion Technical Data (2023)"
,AlSiC-Diamond Powder,Aluminum Silicon Carbide with Diamond Particles,Al-SiC-C,Metal matrix composite,3.10,380,340,660,210,0.80,200,0.23,1000,17.0,6.8,3.5E1,8,"Diamond particle reinforcement, Ultra-high thermal conductivity, Premium thermal management for high-power electronics","Diamond and Related Materials 100:107579 (2019), IEEE Transactions on Device and Materials Reliability 20:115-124 (2020), Nano Diamond Products Technical Data (2023)"
,AlSiC-Graphene Powder,Aluminum Silicon Carbide with Graphene,Al-SiC-Gr,Metal matrix composite,2.93,365,325,660,195,0.82,190,0.24,870,19.0,7.3,3.0E1,8,"Graphene-enhanced interfaces, Improved thermal boundary conductance, Next-generation thermal management materials","Carbon 157:676-685 (2020), Composites Part B: Engineering 176:107338 (2019), Applied Graphene Materials Technical Data (2023)"
