Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Property Overlap,References
,Softell® TKS 209N,Soft Polypropylene Compound,(C3H6)n,Polymer,55,12,600,90,"Soft touch, excellent scratch resistance, good colorability, processability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Softell® CA 7810M,Soft Polypropylene Compound,(C3H6)n,Polymer,60,15,550,95,"Automotive applications, excellent scratch resistance, good UV stability, colorability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Adflex® Q100F,Thermoplastic Polyolefin Elastomer,(C3H6)n,Polymer,60,10,700,85,"High flexibility, good impact resistance, excellent processability, transparency",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Catalloy® KS353,Advanced Polyolefin Resin,(C3H6 C2H4)n,Polymer,70,18,500,100,"Excellent impact resistance, good flexibility, thermal stability, processability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/catalloy-process-resins/
,Catalloy® KS021P,Advanced Polyolefin Resin,(C3H6 C2H4)n,Polymer,67,15,550,95,"Superior soft touch, excellent flexibility, good impact resistance, processability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/catalloy-process-resins/
,Plexar® PX3080,Tie-Layer Resin,(C2H4 C8H16O)n,Polymer,55,20,600,80,"Excellent adhesion to polar substrates, good processability, chemical resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/plexar-tie-layer-resins/
,Plexar® PX114,Tie-Layer Resin,(C2H4 C8H16O)n,Polymer,53,18,650,75,"Superior adhesion to polyamides, excellent processability, flexibility, chemical resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/plexar-tie-layer-resins/
,Lucalen® A2910M,Ethylene-Acrylic Acid Copolymer,(C2H4 C3H4O2)n,Polymer,50,15,600,70,"Excellent adhesion properties, good processability, flexibility, heat sealability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Alathon® H5618,High-Density Polyethylene (HDPE),(C2H4)n,Polymer,67,28,760,85,"Blow molding grade, excellent environmental stress crack resistance, processability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Purell® KT-MR07,Medical-Grade Polypropylene,(C3H6)n,Polymer,95,34,550,105,"Medical grade, excellent purity, good regulatory compliance, sterilization resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Purell® PE 3020D,Medical-Grade Polyethylene,(C2H4)n,Polymer,45,13,580,75,"Medical grade, excellent clarity, regulatory compliance, sterilization resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Polybutene-1 PB 0110M,Polybutene-1,(C4H8)n,Polymer,70,18,400,90,"Excellent creep resistance, flexibility, temperature resistance, good processability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polybutene-1/
