Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Eastman™ CAP 504-0.2,Cellulose Acetate Propionate,(C5H8O2)n,Polymer,70,33,65,90,1.18,12.0,1690,5.5,1.8,13.5,"Low viscosity, excellent dimensional stability, high surface gloss, weatherability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000985
,Eastalite™ EB062,Copolyester,(C10H8O4)n,Polymer,75,40,250,80,1.10,14.0,1800,10.5,0.3,14.0,"Low density, excellent clarity, chemical resistance, toughness",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71040996
,Durastar™ 6601,Modified Copolyester,(C10H8O4)n,Polymer,82,52,200,115,1.30,8.0,2200,9.0,0.2,16.5,"Excellent thermal stability, chemical resistance, processability, good mechanical properties",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71001367
,Durastar™ EB001,Modified Copolyester,(C10H8O4)n,Polymer,83,54,180,120,1.32,7.5,2250,8.5,0.2,17.0,"High heat resistance, excellent hydrolytic stability, toughness, chemical resistance",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71001368
,Provista™ EB062,Copolyester,(C10H8O4)n,Polymer,77,44,260,85,1.25,10.0,1850,9.0,0.3,15.0,"Excellent clarity, chemical resistance, printability, recycled content",https://www.eastman.com/Literature_Center/P/PP7-7069.pdf
,Treva™ 5001,Cellulose-based Thermoplastic,(C6H10O5)n,Polymer,78,55,30,120,1.22,15.0,2350,4.5,1.0,16.0,"Bio-based content, chemical resistance, excellent flowability, low birefringence",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71303162
,Treva™ 5013,Cellulose-based Thermoplastic,(C6H10O5)n,Polymer,80,57,25,125,1.23,13.0,2400,4.0,0.9,16.5,"Excellent chemical resistance, high HDT, low birefringence, sustainable bio-content",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71303243
,Eastobond™ 7772,Polyolefin Hot Melt Adhesive,(C2H4)n,Polymer,65,12,500,85,0.93,20.0,350,,0.01,18.0,"Excellent adhesion, thermal stability, good flexibility, low odor",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71038078
,Eastoflex™ P1023,Amorphous Polyolefin,(C3H6)n,Polymer,60,10,600,75,0.90,25.0,300,,0.01,17.5,"Excellent adhesion, flexibility, thermal stability, good compatibility",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000690
,Eastman™ SAIB-90EA,Sucrose Acetate Isobutyrate,C40H54O19,Polymer,70,1.14,,,,,,,0.5,14.0,"Excellent compatibility, good adhesion, high viscosity, excellent stability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000170
,Eastman™ Embrace™ ER082,Olefin-based Packaging Film,(C2H4)n,Polymer,55,28,800,80,0.88,20.0,500,NB,0.01,14.0,"Superior weatherability, scratch resistance, excellent gloss retention, chemical resistance",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71302013
,Eastman™ APB,n-Butyraldehyde-Acetaldehyde-Propionaldehyde,C6H12O,Polymer,65,0.81,,,,,,,,,"High purity, excellent solubility, low water content, chemical intermediates",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000012
,Eastman™ CHDM-D,1.4-Cyclohexanedimethanol,C8H16O2,Polymer,120,1.02,,,,,,,,,"Excellent thermal stability, chemical resistance, low viscosity, intermediate for polyesters",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000068
,Eastman™ TMPD,2.2.4-Trimethyl-1.3-Pentanediol,C8H18O2,Polymer,110,0.94,,,,,,,,,"Excellent solubility, low viscosity, chemical stability, intermediate for coatings",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000141
,Eastman™ TXIB,2.2.4-Trimethyl-1.3-Pentanediol Diisobutyrate,C16H30O4,Polymer,95,0.95,,,,,,,,12.0,"Low volatility, excellent compatibility, good efficiency, plasticizer properties",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000025
,Eastman™ TBAC,Tertiary Butyl Acetate,C6H12O2,Polymer,60,0.87,,,,,,,,,"Low density, excellent solvency, VOC exempt, high purity",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000396
,Eastman™ Optifilm™ 400,Coalescent Agent,C12H24O3,Polymer,75,0.96,,,,,,,,,"Low VOC, excellent efficiency, good compatibility, high performance",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000053
,Eastman™ Cadence™ 5920,Cellulose Acetate Butyrate,(C6H10O2)n,Polymer,73,35,65,110,1.20,5.5,1750,5.7,1.6,15.5,"Advanced paint applications, excellent appearance, durability, flow and leveling",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000863
