Application,Buyer_Name,Headquarters_Location,Manufacturing_Locations,Contact_Information,Website,Review_Score,Annual_Volume_kg,Annual_Revenue_USD,Established_Year,Employee_Count,Procurement_Contact,Required_Certifications,Typical_Lead_Time_Days,Payment_Terms,Contract_Duration_Months,Quality_Standards,Sustainability_Commitment,Supply_Chain_Tier,Recent_Growth_Rate
Night vision devices,Guangzhou SAT Infrared Technology,"Guangzhou, China","Guangzhou (China), Shenzhen (China), Xiamen (China)",purchasing@satir-infrared.com,www.satir-infrared.com,4.1,2800,"$187,000,000",1999,2200,"Zhang Wei, +86-20-2885-9966","ISO 9001, GB/T 19001",30,"50% advance, 50% before delivery",12,"GB/T 19001-2016","Energy consumption monitoring, Supplier environmental audits",2,15.3%
Night vision devices,American Technologies Network Corp.,"San Francisco, California, USA","South San Francisco (USA), Dayton (USA)",vendors@atncorp.com,www.atncorp.com,4.3,380,"$78,000,000",1995,450,"Julie Martinez, +1-650-989-5100","ISO 9001, ITAR",21,"Net 30, volume discounts",12,"ISO 9001:2015, MIL-STD-461","Sustainable packaging initiative, Reduced energy facilities",2,9.3%
Night vision devices,PHOTONIS Netherlands B.V.,"Roden, Netherlands","Roden (Netherlands), Brive la Gaillarde (France), Lancaster (USA)",procurement@photonis.com,www.photonis.com,4.6,640,"$125,000,000",1937,1100,"Ruud van der Meer, +31-50-501-8808","ISO 9001, AS9100D",40,"Net 45",24,"AS9100D, MIL-STD-810G","Energy-efficient manufacturing, Sustainable raw materials initiative",1,4.7%
Night vision devices,Luna Optics Inc.,"Stafford, Virginia, USA","Stafford (USA), Houston (USA)",suppliers@lunaoptics.com,www.lunaoptics.com,4.0,190,"$35,000,000",2002,180,"David Williams, +1-540-868-0076","ISO 9001, ITAR",15,"Net 30",6,"ISO 9001:2015","E-waste recycling program, Energy-efficient facilities",3,11.5%
Night vision devices,JSC Katod,"Novosibirsk, Russia","Novosibirsk (Russia), Moscow (Russia)",procurement@katodnv.com,www.katodnv.com,4.2,750,"$65,000,000",1959,540,"Alexei Petrov, +7-383-211-8155","ISO 9001, GOST R",60,"70% advance, 30% after delivery",12,"GOST R ISO 9001-2015","Clean production initiatives, Resource efficiency program",2,6.8%
Night vision devices,Optics 1 Inc.,"Bedford, New Hampshire, USA","Bedford (USA), Manchester (UK)",purchasing@optics1.com,www.optics1.com,4.5,270,"$52,000,000",1987,210,"Sarah Thompson, +1-603-296-0469","ISO 9001, ITAR, AS9100D",30,"Net 45",12,"AS9100D, MIL-STD-810G","Zero waste manufacturing target, Sustainable supply chain",2,8.4%
Semiconductor devices,Intel Corporation,"Santa Clara, California, USA","Hillsboro (USA), Chandler (USA), Leixlip (Ireland), Dalian (China)",supplier.program@intel.com,www.intel.com,4.9,5700,"$73,100,000,000",1968,110600,"Gregory Allen, +1-408-765-8080","ISO 9001, IATF 16949, ISO 14001",90,"Net 60, Early payment discount program",36,"IATF 16949, Six Sigma, Lean","Carbon neutral operations by 2030, 100% renewable energy",1,4.5%
Semiconductor devices,Samsung Electronics,"Suwon, South Korea","Hwaseong (South Korea), Austin (USA), Xi'an (China), Campinas (Brazil)",semiconductor.procurement@samsung.com,www.samsung.com/semiconductor,4.8,6300,"$63,700,000,000",1969,267937,"Ji-Sung Kim, +82-31-209-7114","ISO 9001, IATF 16949, EICC",75,"Net 60",24,"IATF 16949, Six Sigma, FMEA","Renewable energy targets, Zero waste to landfill",1,8.1%
Semiconductor devices,TSMC,"Hsinchu, Taiwan","Hsinchu (Taiwan), Tainan (Taiwan), Nanjing (China), Arizona (USA)",supplier@tsmc.com,www.tsmc.com,4.9,8900,"$56,800,000,000",1987,65152,"Ming Chen, +886-3-563-6688","ISO 9001, IATF 16949, QC 080000",60,"Net 45",24,"IATF 16949, Zero Defects","Net Zero Emissions by 2050, Circular Resources plan",1,13.7%
Semiconductor devices,Infineon Technologies,"Neubiberg, Germany","Dresden (Germany), Villach (Austria), Kulim (Malaysia), Austin (USA)",supplier.management@infineon.com,www.infineon.com,4.7,3200,"$11,060,000,000",1999,54900,"Dr. Klaus Schmidt, +49-89-234-0","ISO 9001, IATF 16949, ISO 14001",45,"Net 45, dynamic discounting",24,"IATF 16949, Six Sigma","Carbon neutral by 2030, Green energy initiative",1,5.5%
Semiconductor devices,Texas Instruments,"Dallas, Texas, USA","Dallas (USA), Richardson (USA), Freising (Germany), Chengdu (China)",vendor.relations@ti.com,www.ti.com,4.7,2500,"$18,300,000,000",1930,30000,"Jennifer Moore, +1-214-479-3773","ISO 9001, IATF 16949",60,"Net 60",12,"IATF 16949, Six Sigma","Sustainable manufacturing initiative, 85% waste recycling",1,3.8%
Semiconductor devices,STMicroelectronics,"Geneva, Switzerland","Crolles (France), Agrate (Italy), Ang Mo Kio (Singapore), Shenzhen (China)",procurement@st.com,www.st.com,4.6,2800,"$12,800,000,000",1987,48000,"Luca Rossi, +41-22-929-29-29","ISO 9001, IATF 16949, ISO 14001",30,"Net 45",12,"IATF 16949, Six Sigma, SPC","Carbon neutrality by 2027, Responsible products initiative",1,6.7%
Semiconductor devices,Hua Hong Semiconductor,"Shanghai, China","Shanghai (China), Wuxi (China)",supplier@huahong.com.cn,www.huahongsemi.com,4.3,3600,"$1,850,000,000",1996,5800,"Li Xiaojing, +86-21-5080-2000","ISO 9001, IATF 16949, GB/T 19001",21,"50% advance, 50% on delivery",12,"GB/T 19001-2016, SPC","Energy conservation program, Clean manufacturing initiative",2,11.5%
Semiconductor devices,GlobalFoundries,"Santa Clara, California, USA","Malta (USA), Dresden (Germany), Singapore, Chengdu (China)",supply.chain@gf.com,www.globalfoundries.com,4.5,4100,"$6,580,000,000",2009,16000,"Robert Wilson, +1-408-462-3900","ISO 9001, IATF 16949, ISO 14001",75,"Net 45, volume pricing",24,"IATF 16949, Six Sigma, PPAP","Journey to Zero Carbon initiative, Water conservation program",1,8.2%
Semiconductor devices,United Monolithic Semiconductors,"Orsay, France","Orsay (France), Ulm (Germany)",purchasing@ums-gaas.com,www.ums-rf.com,4.2,580,"$180,000,000",1996,350,"Catherine Dubois, +33-1-69-33-03-08","ISO 9001, AS9100D, ISO 14001",45,"Net 60",12,"AS9100D, Lean manufacturing","Green IT initiative, Sustainable workplace",2,5.8%
Radiation detectors,Mirion Technologies,"Atlanta, Georgia, USA","Atlanta (USA), Lamanon (France), Munich (Germany), Shanghai (China)",suppliers@mirion.com,www.mirion.com,4.7,720,"$650,000,000",2005,2500,"Daniel Roberts, +1-770-432-2744","ISO 9001, ISO 13485, IEC 61010",60,"Net 45",24,"ISO 9001:2015, IEC 62304","Environmental stewardship program, Energy efficiency in manufacturing",1,6.3%
Radiation detectors,ORTEC (Ametek),"Oak Ridge, Tennessee, USA","Oak Ridge (USA), Wokingham (UK), Munich (Germany)",procurement@ametek-ortec.com,www.ortec-online.com,4.6,590,"$380,000,000",1968,1100,"William Johnson, +1-865-482-4411","ISO 9001, ISO 17025",30,"Net 30",12,"ISO 9001:2015, ANSI N42.14","100% renewable energy plan by 2030, Zero carbon initiative",1,4.8%
Radiation detectors,Canberra Industries (Mirion),"Meriden, Connecticut, USA","Meriden (USA), Loches (France), Olen (Belgium), Harwell (UK)",vendor.relations@canberra.com,www.canberra.com,4.5,640,"$290,000,000",1965,850,"Susan Miller, +1-203-639-2148","ISO 9001, ISO 17025, ANSI N42.14",45,"Net 45",12,"ANSI N42.14, ANSI N42.34","LEED certified facilities, Electronic waste reduction program",1,3.5%
Radiation detectors,Kromek Group,"Sedgefield, UK","Sedgefield (UK), Huddersfield (UK), Pittsburgh (USA)",purchasing@kromek.com,www.kromek.com,4.2,310,"$21,000,000",2003,170,"Andrew Robinson, +44-1740-626060","ISO 9001, ISO 13485, ISO 17025",21,"Net 30, staged payments",12,"ISO 9001:2015, ANSI N42.34","Carbon reduction strategy, Renewable energy adoption",2,12.5%
Radiation detectors,Baltic Scientific Instruments,"Riga, Latvia","Riga (Latvia), Moscow (Russia)",sales@bsi.lv,www.bsi.lv,4.1,180,"$8,500,000",1994,75,"Andris Petersons, +371-6755-9132","ISO 9001, IEC 61010",30,"50% advance, 50% on delivery",6,"ISO 9001:2015, IEC 61010-1","Low-impact manufacturing, Local supply chain focus",2,9.2%
Radiation detectors,CAEN SpA,"Viareggio, Italy","Viareggio (Italy), Germantown (USA)",purchasing@caen.it,www.caen.it,4.4,250,"$45,000,000",1979,220,"Marco Bianchi, +39-0584-388-398","ISO 9001, IEC 61010",21,"Net 45",12,"ISO 9001:2015, IEC 61010-1","Eco-friendly materials initiative, Energy management system",2,7.8%
Radiation detectors,Nuctech Company Limited,"Beijing, China","Beijing (China), Hefei (China), Warsaw (Poland), Dubai (UAE)",suppliers@nuctech.com,www.nuctech.com,4.0,1350,"$950,000,000",1997,5100,"Zhang Hui, +86-10-6278-8888","ISO 9001, GB/T 19001",30,"50% advance, 30% on delivery, 20% after installation",12,"GB/T 19001-2016, ANSI N42.35","Green manufacturing practices, Water conservation program",1,14.7%
Radiation detectors,H3D Inc.,"Ann Arbor, Michigan, USA","Ann Arbor (USA), Boston (USA)",procurement@h3dgamma.com,www.h3dgamma.com,4.3,120,"$18,000,000",2011,85,"Jennifer Davis, +1-734-661-6416","ISO 9001, ANSI N42.34",15,"Net 30",6,"ANSI N42.34, ANSI N42.42","Green office initiative, Electronics recycling program",3,15.8%
Radiation detectors,FLIR Systems Radiation,"Meer, Belgium","Meer (Belgium), Arlington (USA), West Malling (UK)",radiation.suppliers@flir.com,www.flir.com/threat-detection,4.5,380,"$215,000,000",1978,550,"Johan Vermeulen, +32-3-3665-400","ISO 9001, AS9100D, IEC 61010",30,"Net 45",12,"AS9100D, ANSI N42.14","Environmental sustainability program, Reduced carbon footprint initiative",1,5.1%
Solar cell concentrators,First Solar Inc.,"Tempe, Arizona, USA","Perrysburg (USA), Kulim (Malaysia), Ho Chi Minh City (Vietnam)",supplier.relations@firstsolar.com,www.firstsolar.com,4.8,2300,"$2,920,000,000",1999,5500,"Melissa Brown, +1-602-414-9300","ISO 9001, ISO 14001, IEC 61215",45,"Net 45, volume discounts",24,"IEC 61215, IEC 61730","Carbon footprint reduction, Circular economy initiative",1,6.7%
Solar cell concentrators,Canadian Solar Inc.,"Guelph, Ontario, Canada","Suzhou (China), Baotou (China), Zapopan (Mexico), Ho Chi Minh City (Vietnam)",procurement@canadiansolar.com,www.canadiansolar.com,4.6,3800,"$3,580,000,000",2001,12000,"Li Ming, +1-519-837-1881","ISO 9001, ISO 14001, IEC 61215",30,"Net 30, Letter of Credit",12,"IEC 61215, IEC 61730, UL 1703","Solar manufacturing powered by solar, 100% recyclable panels goal",1,8.9%
Solar cell concentrators,Q CELLS (Hanwha),"Seoul, South Korea","Jincheon (South Korea), Qidong (China), Dalton (USA), Thalheim (Germany)",suppliers@q-cells.com,www.q-cells.com,4.7,4500,"$2,380,000,000",1999,9600,"Park Jung-hwan, +82-2-729-2700","ISO 9001, ISO 14001, IEC 61215",60,"Net 60",12,"IEC 61215, IEC 61730","Clean manufacturing, Low carbon footprint certification",1,10.5%"
Solar cell concentrators,Meyer Burger Technology AG,"Thun, Switzerland","Hohenstein-Ernstthal (Germany), Thun (Switzerland), Hauterive (Switzerland)",purchasing@meyerburger.com,www.meyerburger.com,4.4,580,"$342,000,000",1953,800,"Andreas Weber, +41-33-221-28-00","ISO 9001, ISO 14001",30,"Net 30",24,"ISO 9001:2015, IEC 61215","European Green Deal compliant, Zero-waste manufacturing",1,15.2%
Solar cell concentrators,JA Solar Technology Co.,"Beijing, China","Fengxian (China), Xingtai (China), Penang (Malaysia)",procurement@jasolar.com,www.jasolar.com,4.5,5200,"$3,910,000,000",2005,22000,"Xu Wei, +86-10-6361-1888","ISO 9001, ISO 14001, IEC 61215",21,"30% advance, 70% before shipment",12,"IEC 61215, IEC 61730","Water recycling program, Sustainable factory initiative",1,12.3%
Solar cell concentrators,SunPower Corporation,"San Jose, California, USA","Mexicali (Mexico), Melaka (Malaysia), De Vernejoul (France)",suppliers@sunpower.com,www.sunpower.com,4.7,1850,"$1,320,000,000",1985,4800,"Christine Martinez, +1-408-240-5500","ISO 9001, ISO 14001, IEC 61215",45,"Net 45",12,"IEC 61215, IEC 61730, UL 1703","Cradle to Cradle Certified Silver panels, Carbon neutral by 2025",1,4.8%
Solar cell concentrators,Jolywood Solar Technology,"Taizhou, China","Taizhou (China), Yangzhong (China), Quzhou (China)",purchase@jolywood.cn,www.jolywood.cn,4.2,3100,"$750,000,000",2008,2800,"Chen Jianjun, +86-523-8061-6358","ISO 9001, ISO 14001, IEC 61215",30,"50% advance, 50% before delivery",12,"IEC 61215, GB/T 19001-2016","Renewable energy powered manufacturing, Low carbon supply chain",2,16.5%
Solar cell concentrators,REC Solar,"Singapore","Singapore, Tuas (Singapore), Glava (Norway)",purchasing@recgroup.com,www.recgroup.com,4.5,1250,"$780,000,000",1996,2000,"Anders Nilsen, +47-67-57-44-50","ISO 9001, ISO 14001, IEC 61215",30,"Net 45",12,"IEC 61215, IEC 61730","Low carbon footprint certification, Zero waste to landfill",1,7.3%
Solar cell concentrators,Risen Energy Co.,"Ningbo, China","Ningbo (China), Changzhou (China), Penang (Malaysia), Monterrey (Mexico)",procurement@risenenergy.com,www.risenenergy.com,4.3,4800,"$2,150,000,000",2002,10000,"Liu Yong, +86-574-5953-9000","ISO 9001, ISO 14001, IEC 61215",21,"30% advance, 70% on delivery",12,"IEC 61215, IEC 61730, UL 1703","Carbon reduction strategy, Green supply chain initiative",1,13.7%
Fiber optic communication systems,Ciena Corporation,"Hanover, Maryland, USA","Hanover (USA), Ottawa (Canada), Gurgaon (India), London (UK)",suppliers@ciena.com,www.ciena.com,4.8,620,"$3,780,000,000",1992,7400,"David Wilson, +1-410-694-5700","ISO 9001, TL 9000, ISO 14001",45,"Net 45",24,"TL 9000, ISO 9001:2015","Zero carbon emission goal by 2030, E-waste recycling program",1,6.9%
Fiber optic communication systems,Huawei Technologies,"Shenzhen, China","Shenzhen (China), Dongguan (China), Bangalore (India), Munich (Germany)",procurement@huawei.com,www.huawei.com,4.7,9800,"$100,000,000,000",1987,195000,"Chen Wei, +86-755-2878-0808","ISO 9001, TL 9000, ISO 14001",30,"Net 45, Letter of Credit",12,"TL 9000, ISO 9001:2015","Digital power solutions, Circular economy program",1,7.8%
Fiber optic communication systems,Nokia Networks,"Espoo, Finland","Espoo (Finland), Oulu (Finland), Shanghai (China), Dallas (USA)",supplier.management@nokia.com,www.nokia.com,4.6,3200,"$26,200,000,000",1865,92000,"Mikko Virtanen, +358-10-44-88-000","ISO 9001, TL 9000, ISO 14001",60,"Net 60",24,"TL 9000, ISO 9001:2015","Climate change mitigation, Science-based targets initiative",1,3.4%
Fiber optic communication systems,Infinera Corporation,"San Jose, California, USA","Sunnyvale (USA), Allentown (USA), Shanghai (China), Stockholm (Sweden)",supplier.relations@infinera.com,www.infinera.com,4.5,450,"$1,400,000,000",2000,3200,"Rebecca Chen, +1-408-572-5200","ISO 9001, TL 9000",30,"Net 30",12,"TL 9000, ISO 9001:2015","Sustainable optical innovation, Carbon reduction program",1,8.3%
Fiber optic communication systems,ZTE Corporation,"Shenzhen, China","Shenzhen (China), Xi'an (China), Nanjing (China), Budapest (Hungary)",procurement@zte.com.cn,www.zte.com.cn,4.4,7500,"$17,700,000,000",1985,73000,"Liu Jian, +86-755-2677-0000","ISO 9001, TL 9000, ISO 14001",21,"30% advance, 70% before delivery",12,"TL 9000, GB/T 19001-2016","Green product certification, Supplier eco-rating system",1,9.1%
Fiber optic communication systems,ADVA Optical Networking,"Munich, Germany","Munich (Germany), Meiningen (Germany), Gdynia (Poland), Neuchatel (Switzerland)",purchasing@adva.com,www.adva.com,4.3,380,"$650,000,000",1994,1900,"Thomas Schultz, +49-89-890-665-0","ISO 9001, TL 9000, ISO 14001",21,"Net 30",12,"TL 9000, ISO 9001:2015","Science Based Targets initiative, Energy efficiency program",2,5.7%
Fiber optic communication systems,Fujitsu Network Communications,"Richardson, Texas, USA","Richardson (USA), Tokyo (Japan), Kawasaki (Japan)",supply.chain@fnc.fujitsu.com,www.fujitsu.com/us/products/network,4.5,520,"$3,800,000,000",1935,126400,"Robert Taylor, +1-972-479-2000","ISO 9001, TL 9000, ISO 14001",45,"Net 45",24,"TL 9000, ISO 9001:2015","Global environmental action plan, ICT sustainability",1,2.9%
Fiber optic communication systems,FiberHome Technologies,"Wuhan, China","Wuhan (China), Shanghai (China), Yangzhou (China), Dubai (UAE)",supplier@fiberhome.com,www.fiberhome.com,4.2,4100,"$5,200,000,000",1999,15000,"Zhang Lei, +86-27-8753-2000","ISO 9001, TL 9000, ISO 14001",30,"40% advance, 60% before delivery",12,"TL 9000, GB/T 19001-2016","Energy efficiency optimization, Green packaging initiative",1,12.8%
Fiber optic communication systems,Corning Optical Communications,"Charlotte, North Carolina, USA","Hickory (USA), Winston-Salem (USA), Berlin (Germany), Shanghai (China)",optical.purchasing@corning.com,www.corning.com/optical-communications,4.7,1750,"$14,100,000,000",1851,62000,"Susan Johnson, +1-828-901-5000","ISO 9001, TL 9000, ISO 14001",30,"Net 45",12,"TL 9000, ISO 9001:2015","Zero landfill waste, Sustainable manufacturing processes",1,4.5%
Thermal imaging cameras,FLIR Systems Inc.,"Arlington, Virginia, USA","Wilsonville (USA), Täby (Sweden), Goleta (USA), Tallinn (Estonia)",supplier.relations@flir.com,www.flir.com,4.9,1850,"$1,920,000,000",1978,4265,"Thomas Anderson, +1-877-773-3547","ISO 9001, AS9100D, MIL-STD-810",45,"Net 45",24,"AS9100D, MIL-STD-810G","Carbon reduction targets, Environmental sustainability program",1,7.2%
Thermal imaging cameras,Seek Thermal Inc.,"Santa Barbara, California, USA","Santa Barbara (USA), Shenzhen (China)",procurement@thermal.com,www.thermal.com,4.5,280,"$65,000,000",2012,150,"Michael Davis, +1-805-845-7827","ISO 9001, RoHS",21,"Net 30",12,"ISO 9001:2015","Green manufacturing program, Energy conservation initiatives",2,14.5%
Thermal imaging cameras,Guide Infrared (Wuhan Guide Infrared Co.),"Wuhan, China","Wuhan (China), Beijing (China), Chengdu (China)",purchasing@guideir.com,www.guideir.com,4.3,1950,"$380,000,000",1999,2800,"Wang Jia, +86-27-8129-8784","ISO 9001, GB/T 19001",30,"40% advance, 60% before delivery",12,"GB/T 19001-2016","Clean energy transition, Low-impact production",1,16.2%
Thermal imaging cameras,Testo SE & Co.,"Titisee-Neustadt, Germany","Lenzkirch (Germany), Shenzhen (China), New Delhi (India), West Chester (USA)",suppliers@testo.com,www.testo.com,4.6,430,"$320,000,000",1957,3000,"Klaus Mueller, +49-7653-681-0","ISO 9001, ISO 14001",30,"Net 30",12,"ISO 9001:2015, VDA 6.1","Climate neutrality by 2028, Sustainability management system",1,5.4%
Thermal imaging cameras,Opgal Optronic Industries,"Karmiel, Israel","Karmiel (Israel), Andover (USA)",suppliers@opgal.com,www.opgal.com,4.4,180,"$85,000,000",1983,220,"Oren Levy, +972-4-995-3903","ISO 9001, AS9100D",30,"Net 45, Letter of Credit for new vendors",12,"AS9100D, MIL-STD-810G","Recycling programs, Energy-efficient facilities",2,8.3%
Thermal imaging cameras,Xenics NV,"Leuven, Belgium","Leuven (Belgium), Singapore, Boston (USA)",purchasing@xenics.com,www.xenics.com,4.5,150,"$45,000,000",2000,100,"Jan Vermeiren, +32-16-38-99-00","ISO 9001, ISO 14001",21,"Net 30",12,"ISO 9001:2015","Eco-friendly packaging, Energy reduction initiative",2,9.1%
Thermal imaging cameras,Veoneer Inc.,"Stockholm, Sweden","Southfield (USA), Vårgårda (Sweden), Linköping (Sweden), Sendai (Japan)",procurement@veoneer.com,www.veoneer.com,4.3,320,"$1,490,000,000",2018,7500,"Lars Sjöbring, +46-8-527-762-00","ISO 9001, IATF 16949",45,"Net 45",24,"IATF 16949, ISO 26262","Sustainable automotive solutions, Life-cycle assessment",1,6.8%
Thermal imaging cameras,InfraTec GmbH,"Dresden, Germany","Dresden (Germany), Dallas (USA)",purchasing@infratec.de,www.infratec.de,4.2,120,"$38,000,000",1991,250,"Matthias Kramer, +49-351-871-8610","ISO 9001, ISO 14001",21,"Net 30",12,"ISO 9001:2015, VDA 6.3","Resource-efficient manufacturing, Carbon footprint reduction",2,5.9%
Thermal imaging cameras,Workswell s.r.o.,"Prague, Czech Republic","Prague (Czech Republic), Brno (Czech Republic)",suppliers@workswell.eu,www.workswell.eu,4.0,85,"$12,000,000",2010,65,"Jan Kovář, +420-725-877-063","ISO 9001",15,"50% advance, 50% before delivery",6,"ISO 9001:2015","Green office initiative, Low carbon transport fleet",3,11.2%
Polymerization catalysts,BASF Catalysts,"Iselin, New Jersey, USA","Iselin (USA), Shanghai (China), Ludwigshafen (Germany), Chennai (India)",catalysts.procurement@basf.com,www.catalysts.basf.com,4.8,950,"$4,750,000,000",1865,41000,"Dr. Richard Schmidt, +1-732-205-5000","ISO 9001, ISO 14001, REACH",60,"Net 60",24,"ISO 9001:2015, ISO/TS 16949","Carbon Management Program, ChemCycling project",1,5.7%
Polymerization catalysts,Clariant Catalysts,"Munich, Germany","Munich (Germany), Louisville (USA), Toyama (Japan), Panjin (China)",catalyst.procurement@clariant.com,www.clariant.com/catalysts,4.7,780,"$1,900,000,000",1995,17000,"Dr. Andreas Weber, +49-89-710-661","ISO 9001, ISO 14001, REACH",45,"Net 45",12,"ISO 9001:2015, ISO 14001:2015","EcoTain sustainability label, Avoided emissions initiative",1,4.9%"
Polymerization catalysts,Albemarle Corporation,"Charlotte, North Carolina, USA","Kings Mountain (USA), Amsterdam (Netherlands), Yeosu (South Korea), Xinyu (China)",catalyst.purchasing@albemarle.com,www.albemarle.com,4.6,1250,"$3,240,000,000",1994,5600,"Jennifer Roberts, +1-980-299-5700","ISO 9001, ISO 14001, Responsible Care",30,"Net 45",12,"ISO 9001:2015, OHSAS 18001","Sustainable mining initiative, Net-zero carbon by 2050",1,6.8%
