Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Bayblend® FR3010,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,115,55,80,110,1.16,12.0,2200,35.0,0.20,16.0,"Flame retardant, good flow, high impact resistance, excellent surface quality",https://www.covestro.com/en/products/bayblend
,Bayblend® T65XF,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,112,50,100,105,1.14,18.0,2000,45.0,0.25,15.0,"High flow, excellent impact strength, good thermal stability, excellent surface finish",https://www.covestro.com/en/products/bayblend
,Bayblend® T85,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,118,57,70,115,1.15,14.0,2150,30.0,0.22,15.5,"High heat resistance, good impact strength, excellent surface quality, good dimensional stability",https://www.covestro.com/en/products/bayblend
,Bayblend® T95,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,122,60,60,125,1.16,12.0,2250,25.0,0.20,16.0,"Very high heat resistance, good impact strength, excellent surface quality, dimensional stability",https://www.covestro.com/en/products/bayblend
,Texin® 985,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,85,45,525,125,1.13,7.0,100,,0.7,24.0,"Excellent abrasion resistance, high elasticity, good low temperature flexibility, hydrolysis resistance",https://www.covestro.com/en/products/texin
,Texin® 950U,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,95,52,450,110,1.15,6.0,150,,0.6,26.0,"Medical grade, biocompatible, excellent abrasion resistance, good chemical resistance",https://www.covestro.com/en/products/texin
,Texin® 970U,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,70,40,550,105,1.10,9.0,80,,0.9,22.0,"Soft touch, excellent flexibility, good abrasion resistance, biocompatible",https://www.covestro.com/en/products/texin
,Texin® RxT70A,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,70,35,600,100,1.09,10.0,75,,1.0,21.0,"Medical grade, sterilization resistant, excellent flexibility, good mechanical properties",https://www.covestro.com/en/products/texin
,Desmopan® 385S,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,85,40,580,115,1.13,8.0,100,,0.8,23.0,"Good flexibility, excellent abrasion resistance, good chemical resistance, hydrolysis resistance",https://www.covestro.com/en/products/desmopan
,Desmopan® 9385A,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,85,42,560,120,1.12,7.0,105,,0.7,24.0,"Excellent abrasion resistance, good mechanical properties, chemical resistance, flexibility",https://www.covestro.com/en/products/desmopan
,Desmopan® 9370A,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,70,35,600,110,1.10,9.0,70,,0.9,21.5,"Soft touch, excellent flexibility, good abrasion resistance, good hydrolysis resistance",https://www.covestro.com/en/products/desmopan
,Desmopan® 9665DU,Thermoplastic Polyurethane (TPU),(C4H8N2O)n,Polymer,65,30,650,100,1.08,12.0,55,,1.1,20.0,"Super soft, excellent flexibility, good mechanical properties, good hydrolysis resistance",https://www.covestro.com/en/products/desmopan
,Apec® 1745,High-heat Polymer,(C16H14O3)n,Polymer,135,75,50,175,1.22,7.0,2550,50.0,0.14,18.0,"Extreme heat resistance, excellent dimensional stability, good mechanical properties, clarity",https://www.covestro.com/en/products/apec
,Apec® 1795,High-heat Polymer,(C16H14O3)n,Polymer,140,80,45,180,1.23,6.0,2600,45.0,0.13,18.5,"Superior heat resistance, excellent mechanical properties, good dimensional stability, high clarity",https://www.covestro.com/en/products/apec
,Maezio® CFRTP,Carbon Fiber Reinforced Thermoplastic,(C16H14O3-CF)n,Polymer,150,200,2,150,1.35,,20000,12.0,0.05,22.0,"Lightweight, high strength, excellent stiffness, good dimensional stability",https://www.covestro.com/en/products/maezio
,Baycusan® C 1008,Polyurethane Dispersion,(C4H8N2O)n,Polymer,,,80,1.05,,,,,0.8,,"Film-forming, water resistance, flexibility, good adhesion properties",https://www.covestro.com/en/products/baycusan
,Platilon® U,Thermoplastic Polyurethane Film,(C4H8N2O)n,Polymer,80,50,500,120,1.12,,90,,0.8,22.0,"Breathable, waterproof, elastic, good adhesion properties",https://www.covestro.com/en/products/platilon
,Desmodur® N 3300,Polyisocyanate Crosslinker,C15H10N2O2,Polymer,,,125,1.15,,,,,,,"Fast curing, excellent chemical resistance, good mechanical properties, weatherability",https://www.covestro.com/en/products/desmodur
,Desmophen® NH 1420,Polyaspartic Ester,C8H16N2O4,Polymer,,,115,1.09,,,,,,,"Fast curing, excellent weather resistance, good chemical resistance, flexibility",https://www.covestro.com/en/products/desmophen
,Impranil® DLN,Polyurethane Dispersion,(C4H8N2O)n,Polymer,,,90,1.05,,,,,0.6,,"Excellent flexibility, good chemical resistance, high abrasion resistance, soft feel",https://www.covestro.com/en/products/impranil
