Use case,Industry,Commercial Name,Chemical Name,Chemical Formula,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Property Overlap,Reference
Aircraft wing structures,Aerospace,2024 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg,2.77-2.78,470-480,325-335,500-650,120-130,0.85-0.90,"High strength for structural integrity, Good fatigue resistance, Lightweight for fuel efficiency",Wikipedia: 2024 Aluminium Alloy
Fuselage panels,Aerospace,7075 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.81,510-540,430-480,475-635,130-150,0.87-0.90,"High strength-to-weight ratio, Good fatigue resistance, Corrosion resistance with anodizing",Wikipedia: 7075 Aluminium Alloy
Aircraft fittings,Aerospace,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.70-2.72,310-350,270-300,580-650,150-170,0.90-0.95,"Good corrosion resistance, Moderate strength, Excellent weldability",Wikipedia: 6061 Aluminium Alloy
Wing skins,Aerospace,7050 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.83-2.85,510-540,440-470,475-635,130-150,0.87-0.90,"High strength in thick sections, Good corrosion resistance, Superior fracture toughness",Wikipedia: 7050 Aluminium Alloy
Structural components,Aerospace,6063 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.69-2.70,205-215,170-180,615-655,200-210,0.90-0.95,"Good extrusion properties, Moderate strength, Corrosion resistance",Wikipedia: 6063 Aluminium Alloy
High-strength applications,Aerospace,7068 Aluminum Alloy,Aluminum-Zinc-Magnesium-Copper Alloy,Al-Zn-Mg-Cu,2.80-2.90,640-650,600-610,476-635,180-200,0.90-0.95,"Highest strength aluminum alloy, Superior fatigue resistance, Corrosion resistance",Wikipedia: 7068 Aluminium Alloy
Aircraft structures,Aerospace,2014 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg-Si,2.80-2.83,400-450,275-325,500-650,150-170,0.85-0.90,"High strength, Excellent machinability, Good fatigue resistance",Wikipedia: 2014 Aluminium Alloy
Fuselage frames,Aerospace,7055 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.82-2.84,570-600,490-510,475-635,130-150,0.87-0.90,"Very high strength, Good fatigue resistance, Corrosion resistance",Wikipedia: 7055 Aluminium Alloy
Wing ribs,Aerospace,7475 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.83-2.85,510-540,440-470,475-635,130-150,0.87-0.90,"Improved fracture toughness, High fatigue resistance, Low weight",Wikipedia: 7475 Aluminium Alloy
Landing gear components,Aerospace,7079 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.82,510-540,430-460,475-635,130-150,0.87-0.90,"High strength-to-weight ratio, Fatigue and stress resistance, Corrosion resistance",Wikipedia: 7079 Aluminium Alloy
Spacecraft structures,Aerospace,2219 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu,2.84-2.86,380-420,270-300,500-650,120-130,0.85-0.90,"High-temperature resistance, Excellent weldability, Good strength",Wikipedia: 2219 Aluminium Alloy
Fuel tanks,Aerospace,5052 Aluminum Alloy,Aluminum-Magnesium Alloy,Al-Mg,2.68-2.70,210-230,160-180,600-650,140-150,0.90-0.95,"Excellent corrosion resistance, Good workability, Moderate strength",Wikipedia: 5052 Aluminium Alloy
Hydraulic tubing,Aerospace,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.70-2.72,310-350,270-300,580-650,150-170,0.90-0.95,"Good corrosion resistance, Moderate strength, Excellent weldability",Wikipedia: 6061 Aluminium Alloy
Engine components,Aerospace,4032 Aluminum Alloy,Aluminum-Silicon Alloy,Al-Si,2.68-2.70,380-420,320-360,570-640,150-160,0.85-0.90,"High wear resistance, Good thermal stability, High strength",Wikipedia: 4032 Aluminium Alloy
Structural forgings,Aerospace,7049 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.82,510-540,430-460,475-635,130-150,0.87-0.90,"High strength, Good stress corrosion resistance, Good fatigue strength",Wikipedia: 7049 Aluminium Alloy
