Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Hytrel® 8238,Thermoplastic Elastomer (TPE),(C12H24O4)n,Polymer,82,45,300,150,1.25,4.0,275,,0.4,18.0,"Superior heat resistance, excellent flex fatigue resistance, chemical resistance, durability",https://www.dupont.com/products/hytrel.html
,Hytrel® 4056,Thermoplastic Elastomer (TPE),(C12H24O4)n,Polymer,40,20,500,110,1.17,10.0,45,,0.8,15.0,"Excellent low temperature flexibility, high elasticity, good chemical resistance, durability",https://www.dupont.com/products/hytrel.html
,Crastin® PBT SK645FR,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,122,55,5,210,1.52,18.0,2600,3.0,0.08,17.0,"Flame retardant, excellent dimensional stability, good electrical properties, hydrolysis resistance",https://www.dupont.com/products/crastin.html
,Crastin® PBT S600F40,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,128,140,2,220,1.65,4.0,9800,6.0,0.05,18.0,"Glass fiber reinforced, high stiffness, excellent dimensional stability, thermal stability",https://www.dupont.com/products/crastin.html
,Rynite® PET FR530,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymer,126,130,3,240,1.68,7.0,8500,5.0,0.1,18.5,"Flame retardant, excellent dimensional stability, high stiffness, thermal resistance",https://www.dupont.com/products/rynite.html
,Rynite® PET RE5220,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymer,122,120,3,235,1.62,8.0,8200,5.2,0.15,19.0,"Glass reinforced, recycled content, excellent stiffness, good dimensional stability",https://www.dupont.com/products/rynite.html
,Sorona® 3015,Bio-PDO Polyester,(C8H12O4)n,Polymer,82,60,90,120,1.30,15.0,2200,12.0,0.5,18.0,"Bio-based content, excellent stain resistance, UV stability, soft hand feel",https://www.dupont.com/products/sorona.html
,Sorona® 3010,Bio-PDO Polyester,(C8H12O4)n,Polymer,80,58,100,115,1.28,18.0,2100,14.0,0.6,17.5,"Renewably sourced, excellent resilience, stain resistance, dimensional stability",https://www.dupont.com/products/sorona.html
,Tynex® 612,Polyamide 612 (PA612),(C18H34N2O2)n,Polymer,65,45,85,1.06,8.0,1800,6.0,0.4,24.0,"High abrasion resistance, excellent resilience, stiffness, chemical resistance",https://www.dupont.com/products/tynex.html
,Vespel® SP-1,Polyimide,(C22H10N2O5)n,Polymer,135,86,7,300,1.43,,3800,2.5,0.24,26.0,"Extreme high temperature resistance, excellent wear resistance, dimensional stability",https://www.dupont.com/products/vespel.html
,Vespel® SP-21,Polyimide with Graphite,(C22H10N2O5)n,Polymer,130,69,8,290,1.50,,3600,2.7,0.22,22.0,"Self-lubricating, excellent wear resistance, high temperature resistance, low friction",https://www.dupont.com/products/vespel.html
,Teflon™ PTFE,Polytetrafluoroethylene (PTFE),(C2F4)n,Polymer,57,31,300,260,2.15,,500,3.0,0.01,60.0,"Exceptional chemical resistance, low friction, high temperature stability, non-stick",https://www.dupont.com/products/teflon.html
,Teflon™ FEP,Fluorinated Ethylene Propylene (FEP),(C2F4 C3F6)n,Polymer,55,23,325,200,2.14,7.0,550,,0.01,80.0,"Chemical inertness, electrical insulation, low friction, non-stick properties",https://www.dupont.com/products/teflon.html
,Teflon™ PFA,Perfluoroalkoxy (PFA),(C2F4 C2F3OCF3)n,Polymer,60,28,300,260,2.12,6.0,600,,0.03,85.0,"High purity, extreme chemical resistance, thermal stability, excellent dielectric properties",https://www.dupont.com/products/teflon.html
,Teflon™ ETFE,Ethylene Tetrafluoroethylene (ETFE),(C2H4 C2F4)n,Polymer,75,45,200,150,1.70,10.0,1300,,0.03,62.0,"Excellent chemical resistance, high impact strength, radiation resistance, transparent",https://www.dupont.com/products/teflon.html
,Tedlar® PVF,Polyvinyl Fluoride (PVF),(C2H3F)n,Polymer,77,55,130,107,1.38,9.0,2300,,0.11,25.0,"Weather resistance, excellent durability, UV resistance, chemical resistance",https://www.dupont.com/products/tedlar.html
,Kapton® HN,Polyimide Film,(C22H10N2O5)n,Polymer,,231,72,400,1.42,,2500,,1.3,154.0,"Extreme temperature resistance, excellent dielectric strength, dimensional stability, radiation resistance",https://www.dupont.com/products/kapton.html
,Surlyn® 1601,Ionomer Resin,(C2H4 C3H4O2)n,Polymer,65,24,450,71,0.94,1.3,220,,0.5,18.0,"Excellent clarity, superior impact strength, abrasion resistance, chemical resistance",https://www.dupont.com/products/surlyn.html
,Surlyn® 8940,Ionomer Resin,(C2H4 C3H4O2)n,Polymer,68,33,350,90,0.95,2.5,250,,0.4,18.5,"High clarity, excellent toughness, abrasion resistance, good processability",https://www.dupont.com/products/surlyn.html
,Nomex® 410,Meta-Aramid Paper,(C14H10N2O2)n,Polymer,88,12,220,0.72,,,,5.0,40.0,"Excellent electrical insulation, flame resistance, high temperature stability, chemical resistance",https://www.dupont.com/products/nomex.html
