Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Celanex® XFR,Flame-Retardant PBT,(C12H12O4)n,Polymer,124,54,20,150,1.50,14.0,2550,3.2,0.08,21.0,"Non-halogen flame retardant, excellent electrical properties, dimensional stability",https://www.celanese.com/products/celanex-pbt
,Celanex® ECO,Recycled-Content PBT,(C12H12O4)n,Polymer,124,55,45,145,1.31,16.0,2400,3.9,0.09,23.0,"Post-consumer recycled content, good mechanical properties, reduced carbon footprint",https://www.celanese.com/products/celanex-pbt
,Riteflex® 425,Thermoplastic Polyester Elastomer (TPC-ET),(C12H24O4)n,Polymer,42,15,550,80,1.18,,50,,0.5,18.0,"Excellent flexibility, good chemical resistance, fatigue resistance, soft touch",https://www.celanese.com/products/riteflex-tpc-et
,Riteflex® 640,Thermoplastic Polyester Elastomer (TPC-ET),(C12H24O4)n,Polymer,63,25,400,120,1.20,,100,,0.4,19.0,"Good flexibility, excellent mechanical properties, chemical resistance, thermal stability",https://www.celanese.com/products/riteflex-tpc-et
,Riteflex® 847,Thermoplastic Polyester Elastomer (TPC-ET),(C12H24O4)n,Polymer,82,40,300,150,1.22,,200,15.0,0.3,20.0,"Higher durometer, excellent mechanical properties, good chemical resistance, thermal stability",https://www.celanese.com/products/riteflex-tpc-et
,Riteflex® TPC-ET GF,Glass-Reinforced TPC-ET,(C12H24O4)n,Polymer,85,70,150,160,1.35,,3500,8.0,0.2,18.5,"Glass fiber reinforced, excellent mechanical properties, good chemical resistance, stiffness",https://www.celanese.com/products/riteflex-tpc-et
,Fortron® 1140L4,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,130,80,2,210,1.35,14.0,3900,3.0,0.02,24.0,"Excellent chemical resistance, thermal stability, dimensional stability, good electrical properties",https://www.celanese.com/products/fortron-pps
,Fortron® 6165A7,Glass-Reinforced PPS,(C6H4S)n,Polymer,135,165,1,240,1.65,6.0,12000,4.0,0.01,22.0,"40% glass reinforced, excellent thermal properties, chemical resistance, dimensional stability",https://www.celanese.com/products/fortron-pps
,Fortron® ICE,Low-Warpage PPS,(C6H4S)n,Polymer,132,160,1,220,1.60,8.0,11500,3.5,0.02,23.0,"Reduced warpage, excellent molding characteristics, good dimensional stability, chemical resistance",https://www.celanese.com/products/fortron-pps
,Thermx® CG907,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymer,128,185,2,225,1.58,12.0,9500,5.0,0.1,22.0,"30% glass reinforced, excellent thermal properties, dimensional stability, chemical resistance",https://www.celanese.com/products/thermx-cgt-pct
,Frianyl® A 63 VG30,Polyamide 66 (PA66),(C12H22N2O2)n,Polymer,126,180,3,180,1.37,8.0,9000,8.0,1.3,23.0,"30% glass reinforced, high stiffness, excellent mechanical properties, thermal stability",https://www.celanese.com/products/frianyl
,Frianyl® B 63 VN30,Polyamide 6 (PA6),(C6H11NO)n,Polymer,124,175,3,170,1.36,7.0,8800,8.5,1.5,22.0,"30% glass reinforced, good impact strength, excellent mechanical properties, thermal stability",https://www.celanese.com/products/frianyl
