Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,Aluminum 7075-T6,High-Strength Aluminum Alloy,Al-Zn-Mg-Cu,Alloy,2.81,572,503,635,130,0.96,71.7,0.33,159,28,23.4,5.7,6,"Highest strength aluminum alloy, Good fatigue resistance, Excellent machinability","ASM Aerospace Specification Metals Inc., MMPDS-08, Journal of Materials Engineering and Performance 25(8):3214-3221"
,MP35N,Cobalt-Nickel-Chromium-Molybdenum Alloy,Co-Ni-Cr-Mo,Alloy,8.43,1793,1586,1400,11.2,0.427,232,0.30,690,120,13.0,103,8,"Ultra-high strength, Excellent corrosion resistance, Superior fatigue life","ATI Metals: MP35N Technical Data, ASM Specialty Handbook: Nickel, Cobalt, and Their Alloys, Journal of Materials Science 50(13):4656-4670"
,Beryllium Copper,Beryllium-Copper Alloy,Cu-2Be,Alloy,8.23,1280,1140,870,118,0.42,131,0.30,310,12,17.0,8.4,6,"High strength, Good electrical conductivity, Non-magnetic","Brush Wellman: Beryllium Copper Alloys Technical Data, ASM Specialty Handbook: Copper and Copper Alloys, Materials Transactions 58(11):1513-1519"
,Rene 41,Nickel-Based Superalloy,Ni-Cr-Co-Mo,Alloy,8.25,1400,1050,1370,12.0,0.44,219,0.31,550,88,12.1,133,9,"Excellent high-temperature strength, Good oxidation resistance, Creep resistance","Special Metals Corporation Technical Data Sheet, MMPDS-08, Superalloys II: High-Temperature Materials for Aerospace and Industrial Power"
,MarM 247,Nickel-Based Superalloy,Ni-Co-Cr-W-Al-Ti-Ta-Hf,Alloy,8.54,1010,820,1330,9.7,0.46,220,0.31,480,72,8.5,140,9,"Superior high-temperature strength, Excellent creep resistance, Good thermal fatigue resistance","General Electric Aviation Technical Data, Journal of Materials Science 53:16212-16227, Superalloys: Fundamentals and Applications"
,Aluminum-Lithium 8090,Lightweight Aluminum-Lithium Alloy,Al-Li-Cu-Mg,Alloy,2.54,455,350,600,120,0.92,80,0.34,180,34,22.0,5.2,7,"Low density, High specific stiffness, Superior fatigue crack growth resistance","Alcoa Technical Data Sheet, Journal of Materials Research and Technology 9(3):3358-3367, Advanced Aluminum and Aluminum-Lithium Alloys"
,CMSX-4,Single Crystal Nickel Superalloy,Ni-Cr-Co-W-Al-Ti-Ta-Hf,Alloy,8.70,1060,910,1370,8.7,0.450,128,0.33,520,60,11.7,145,9,"Superior creep resistance, Exceptional high-temperature strength, Excellent resistance to thermal fatigue","Cannon-Muskegon Corporation Technical Data, Materials Science and Engineering: A, 746:122-134, Single-Crystal Superalloys for Blade Applications in Advanced Gas Turbines"
,TiAl,Gamma Titanium Aluminide,Ti-48Al-2Nb-2Cr,Alloy,3.91,650,580,1460,22.4,0.63,175,0.26,325,25,10.3,180,7,"Low density, High specific stiffness, Excellent high-temperature strength","Journal of Materials Science 53:5354-5365, Intermetallic Compounds for High-Temperature Structural Applications, MMPDS-12"
,K1045,U-2 Spy Plane Canopy Material,Si-Al-O-N,Ceramic,3.25,310,290,1800,2.8,1.02,320,0.22,145,4.5,4.5,1.0E17,10,"Exceptional optical clarity, High heat resistance, Low radar signature","Lockheed Skunk Works Technical Data, Advanced Materials & Processes 175(3):30-35, Aerospace Ceramics and Glass-Ceramics"
,Carbon-Carbon Composite,Reinforced Carbon Matrix,C-C,Composite,1.78,275,245,3500,350,0.71,130,0.25,180,15,2.0,5.4,8,"Ultra-high temperature resistance, Low thermal expansion, Excellent thermal shock resistance","NASA Technical Memorandum 4065, Composites for Extreme Environments, Journal of Composite Materials 51(4):451-462"
,AM355,Precipitation Hardened Stainless Steel,Fe-15Cr-4Ni-2.5Mo,Alloy,7.82,1310,1170,1430,18.3,0.46,200,0.28,570,85,10.8,72,8,"Good high temperature strength, Excellent corrosion resistance, Good ductility","ASM Specialty Handbook: Stainless Steels, Aerospace Materials Specifications AMS 5743, Journal of Materials Engineering and Performance 27:5325-5340"
,Ti-6242,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo,Alloy,4.54,950,860,1705,6.8,0.55,115,0.32,475,65,7.7,168,8,"Good creep resistance up to 550°C, Good weldability, Excellent fatigue strength","TIMET Corporation Technical Data, MMPDS-11, Journal of Materials Science and Technology 35:530-538"
,Silicon Carbide Fiber CMC,SiC-SiC Ceramic Matrix Composite,SiC-SiC,Composite,2.85,380,340,2700,15,1.10,200,0.21,200,20,4.0,1.0E12,10,"Extreme temperature capability, Excellent thermal shock resistance, Low density","NASA Technical Paper 3235, Advances in Ceramic Matrix Composites IX, Journal of the European Ceramic Society 39:482-501"
,Kevlar-Epoxy Composite,Aramid Fiber Composite,C14H10N2O2-Epoxy,Composite,1.38,480,430,180,0.04,1.42,76,0.36,210,28,2.0,1.0E16,9,"Ultra-lightweight, Superior specific strength, Excellent impact resistance","DuPont Technical Guide for Kevlar, Composites Science and Technology 150:116-124, Handbook of Composite Reinforcements"
,Aluminum 2195,Aluminum-Lithium Alloy,Al-4Cu-1Li-0.4Mg-0.4Ag,Alloy,2.71,525,490,640,121,0.88,78,0.33,205,45,22.4,4.3,7,"Space Shuttle External Tank material, High weldability, Superior cryogenic properties","NASA-CR-4574, MMPDS-08, Journal of Materials Processing Technology 255:463-476"
,Mar-M-200,Cast Nickel Superalloy,Ni-9Cr-10Co-12.5W-5Al-2Ti,Alloy,8.53,965,820,1315,11.0,0.45,205,0.30,460,68,12.0,137,8,"Excellent high temperature strength, Good oxidation resistance, Grain boundary stability","ASM Handbook Vol 2: Properties and Selection of Nonferrous Alloys, Superalloys II, Materials Science and Engineering: A, 748:139-156"
,Bismaleimide Composite,Carbon Fiber/BMI,Carbon-C19H10N2O4,Composite,1.57,1200,1050,250,0.6,0.95,142,0.32,440,38,3.0,1.0E15,7,"High service temperature (232°C), Superior hot/wet properties, Low outgassing","Hexcel Technical Data Sheet, Handbook of Advanced Composites, Composites Part A: Applied Science 119:21-29"
,UDIMET 720,Nickel-Based Superalloy,Ni-18Cr-15Co-5Ti-2.5Al-3Mo-1.25W,Alloy,8.08,1250,980,1340,11.2,0.43,213,0.31,520,70,12.5,125,8,"Excellent creep resistance, Good thermal fatigue resistance, Disc applications in turbines","Special Metals Technical Data Sheet, Superalloys for Gas Turbines, Journal of Materials Science 50:4253-4267"
,CFOAM,Carbon Foam,C-C,Composite,0.56,12.4,11.0,3500,120,0.72,4.8,0.15,5.5,0.4,5.0,55,10,"Ultra-lightweight, Superior thermal management, Excellent flame resistance","CFOAM Ltd Technical Data, Advanced Materials Research Vols. 26-28:129-134, Materials Science and Engineering: A, 527:3098-3103"
,Niobium C-103,Niobium-Hafnium-Titanium Alloy,Nb-10Hf-1Ti,Alloy,8.86,450,380,2410,52,0.29,105,0.35,165,60,7.6,15,9,"Ultra-high temperature resistance, Excellent oxidation resistance above 2000°C, Used in rocket nozzles","ATI Specialty Materials Technical Data Sheet, Refractory Metals and Alloys (2nd Edition), Journal of Materials Engineering and Performance 28(7):4175-4184"
,ALON,Aluminum Oxynitride Ceramic,Al23O27N5,Ceramic,3.69,380,365,2150,12.7,0.78,334,0.24,120,2.2,8.8,1.0E16,10,"Transparent armor ceramic, Superior optical clarity, 4x harder than fused silica","Surmet Corporation Technical Data, Advanced Ceramics for Ballistic Protection, Journal of the European Ceramic Society 37:4221-4228"
,Reinforced Carbon-Carbon,Pyrolytic Carbon on Carbon Fiber,C-C,Composite,1.6,120,90,3500,120,0.71,20,0.25,85,18,1.0,10,8,"Space Shuttle leading edge material, Extreme thermal shock resistance, Withstands 1650°C in oxidizing environments","NASA Technical Memorandum 110179, AIAA Paper 2013-3768, Journal of Spacecraft and Rockets 54:456-467"
,PWA1484,Single Crystal Nickel Superalloy,Ni-5Co-6W-9Cr-5.6Al-1.9Ti-Ta,Alloy,8.95,1060,950,1380,10.4,0.45,130,0.32,540,75,12.5,150,8,"Turbine blade material, Superior creep-rupture strength, Long-term thermal stability","Pratt & Whitney Technical Data, MMPDS-08, Materials Science and Engineering: A 719:61-71"
,Pyrolytic Graphite,Ultra-High Purity Carbon,C,Ceramic,2.22,65,55,3650,1500,0.72,30,0.20,25,0.9,1.0,950,7,"Extraordinary directional thermal conductivity, Highly anisotropic properties, Superior thermal radiative properties","GrafTech Technical Data, Handbook of Carbon Materials, Carbon 167:244-255"
,Molybdenum TZM,Molybdenum-Titanium-Zirconium Alloy,Mo-0.5Ti-0.08Zr,Alloy,10.22,870,760,2620,138,0.25,320,0.32,345,22,5.2,5.0,5,"Extreme temperature stability, High modulus, Outstanding strength above 1300°C","H.C. Starck Technical Datasheet, Refractory Metals for Aerospace Applications, Journal of Materials Science 53:6251-6290"
,Aluminum Bronze,Copper-Aluminum Alloy,Cu-11Al-3Fe,Alloy,7.7,620,250,1040,75,0.41,120,0.33,180,35,16.0,14,8,"Low magnetic signature, High corrosion resistance in seawater, Excellent wear resistance","Copper Development Association Data, ASM Specialty Handbook: Copper and Copper Alloys, Journal of Materials Engineering and Performance 27:1784-1793"
,Titanium Matrix Composite,SiC Fiber/Ti-6Al-4V,Ti-6Al-4V/SiCf,Composite,4.10,1350,1180,1640,11.5,0.58,190,0.29,620,45,7.5,140,8,"Improved specific strength over monolithic Ti, Superior fatigue resistance, Better elevated temperature performance","NASA/TM-2004-213129, Handbook of Titanium-Based Composites (2nd Ed.), Composites Science and Technology 188:107962"
,Borosic,Boron Carbide/Silicon Carbide Composite,B4C-SiC,Ceramic,2.52,395,380,2400,28,0.95,390,0.17,85,3.7,4.2,1.0E10,9,"Superior neutron absorption, Ultra-high hardness, Lightweight radiation shielding","Los Alamos National Laboratory Technical Report LA-UR-15-27079, Journal of Nuclear Materials 488:118-126, Advanced Engineering Materials 20:1700293"
,GRCop-84,Copper-Chromium-Niobium Alloy,Cu-8Cr-4Nb,Alloy,8.87,400,380,1085,320,0.36,130,0.33,140,25,17.0,2.54,7,"NASA rocket combustion chamber material, Exceptional thermal conductivity with high strength, Excellent creep resistance at high temperatures","NASA/TM-2012-217108, Journal of Materials Engineering and Performance 30:3092-3106, Materials at High Temperatures 36:411-421"
,Magnesium AZ31B,Magnesium-Aluminum-Zinc Alloy,Mg-3Al-1Zn,Alloy,1.77,290,220,605,96,1.05,45,0.35,140,17,26.0,9.2,5,"Ultra-lightweight structural material, Good specific strength, Excellent machinability","ASM Specialty Handbook: Magnesium and Magnesium Alloys, ASTM B90/B90M, Materials Science and Engineering: A 527:2738-2746"
,Hexoloy SA,Sintered Alpha Silicon Carbide,SiC,Ceramic,3.15,380,360,2830,125,0.67,410,0.17,250,4.0,4.4,1.0E7,10,"Extreme wear resistance, Ultra-high temperature stability, Superior thermal shock resistance","Saint-Gobain Performance Ceramics Technical Data, Advanced Engineering Materials 18:1511-1517, Journal of the European Ceramic Society 40:4523-4531"
,Incoloy MA956,Oxide Dispersion Strengthened Superalloy,Fe-20Cr-4.5Al-0.5Y2O3,Alloy,7.25,650,585,1480,21.0,0.48,269,0.31,415,40,12.5,132,9,"Exceptional high-temperature creep strength, Oxidation resistant to 1300°C, Radiation resistant for nuclear applications","Special Metals Corporation Technical Data, Materials Science and Engineering: A 387-389:465-470, Journal of Nuclear Materials 417:104-107"
,Hafnium Diboride,Ultra-High Temperature Ceramic,HfB2,Ceramic,11.2,800,780,3250,104,0.25,530,0.12,290,5.5,6.3,10.0,9,"Hypersonic vehicle leading edge material, Ultra-high melting point, Exceptional oxidation resistance in extreme environments","NASA Technical Report NASA/TM-2012-217645, Journal of the American Ceramic Society 96:1536-1550, Materials Science and Engineering: A 558:663-671"
,Araldite LY1564,Aerospace Epoxy Resin,C21H25ClO5,Polymer,1.16,65,62,200,0.21,1.7,3.5,0.38,35,0.9,65.0,1.0E15,6,"Advanced composite matrix material, High glass transition temperature, Controlled cure cycle for reduced stress","Huntsman Advanced Materials Technical Datasheet, Composites Part A: Applied Science and Manufacturing 56:280-289, ASM Handbook Vol 21: Composites"
,Vespel SP-1,Polyimide High-Performance Plastic,C22H10N2O5,Polymer,1.43,86,83,370,0.35,1.13,3.6,0.41,38,1.5,47.0,1.0E17,9,"Satellite bearing cage material, Self-lubricating, Extreme temperature stability from cryogenic to 300°C","DuPont Performance Materials Technical Data, Journal of Applied Polymer Science 135:46068, Tribology International 97:478-489"
,RA330,Heat Resistant Austenitic Alloy,Fe-19Cr-35Ni-1.25Si,Alloy,8.0,550,240,1390,14.0,0.46,196,0.31,185,90,17.3,96,8,"Exceptional cyclic oxidation resistance, Thermal fatigue resistant, High-temperature furnace components","Rolled Alloys Technical Data Sheet, High Temperature Materials and Processes 37:649-658, Journal of Materials Research and Technology 9:5772-5781"
,VS-50 Carbon-Carbon,2D Carbon-Carbon Composite,C-C,Composite,1.85,480,350,3500,135,0.71,100,0.26,210,16,1.2,6.0,8,"Aircraft brake disc material, Superior thermal energy absorption, Maintains strength at 1000°C","Honeywell Aerospace Technical Data, AIAA Paper 2018-3841, Journal of Composite Materials 52:3549-3560"
,ULTEM 9085,Polyetherimide High-Performance Thermoplastic,C37H24O6N2,Polymer,1.27,71.6,69,217,0.18,1.9,2.77,0.4,53,1.8,47.0,1.0E16,6,"3D-printable aerospace polymer, Self-extinguishing flame retardance, FAA-certified for aircraft interiors","Stratasys Technical Data Sheet, Additive Manufacturing 22:127-138, Journal of Thermoplastic Composite Materials 31:1598-1612"
,Cesic,Carbon Fiber Reinforced Silicon Carbide,C-SiC,Ceramic,2.95,240,220,2000,150,0.7,260,0.21,110,20,2.3,1.0E4,9,"Space telescope mirror substrate, Ultra-high dimensional stability, Near-zero CTE for optical applications","ECM Engineered Ceramic Materials Technical Data, Optical Engineering 48:121806, Journal of the European Ceramic Society 41:1491-1501"
,Aerogel-Reinforced Blanket,Silica Aerogel/Ceramic Fibers,SiO2-Al2O3,Composite,0.192,4.1,3.9,1200,0.012,0.8,0.4,0.2,1.5,0.03,0.5,1.0E18,8,"Ultra-low thermal conductivity, Lightest solid material, Space vehicle thermal insulation","NASA Technical Paper 3788, Journal of Sol-Gel Science and Technology 63:315-339, Advances in Space Research 62:1797-1811"
,AISI 9310,Aerospace Gear Steel,Fe-3Ni-1.2Cr-0.12C-0.55Mo,Alloy,7.85,1380,1140,1420,42,0.46,207,0.29,655,98,12.1,22,7,"Helicopter transmission systems, Exceptional fatigue performance, High surface compressive strength","ASM Handbook Vol 1: Properties and Selection, SAE AMS 6265, Materials Science and Engineering: A 642:26-35"
,A286,Iron-Nickel-Chromium Superalloy,Fe-25Ni-15Cr-1.2Mo-2Ti-0.3V,Alloy,7.92,1050,700,1400,15.9,0.50,201,0.31,720,110,16.9,104,9,"Turbine disc material, Superior properties at 650°C, Excellent strength retention","Rolled Alloys Technical Data, Aerospace Structural Metals Handbook, Journal of Materials Engineering and Performance 24:4226-4237"
,L-605,Cobalt-Based Superalloy,Co-20Cr-15W-10Ni,Alloy,9.13,1035,445,1410,14.6,0.38,236,0.29,480,95,13.5,89,10,"Heart valve material, Excellent biocompatibility, Superior wear resistance","Haynes International Technical Data, ASM Handbook Vol 2: Properties and Selection of Nonferrous Alloys, Materials Science and Engineering: C 33:2625-2631"
,Tantalum T-111,Tantalum-Tungsten-Hafnium Alloy,Ta-8W-2Hf,Alloy,16.7,760,655,2980,57,0.14,186,0.34,415,65,6.5,13.5,10,"Ultra-high temperature applications, Exceptional corrosion resistance, Space nuclear power systems","H.C. Starck Technical Data, Refractory Metals and Alloys (3rd Edition), Journal of Nuclear Materials 426:118-125"
,BoralSiC,Boron Carbide/Aluminum Composite,Al-B4C,Composite,2.61,210,190,660,190,0.92,120,0.28,90,24,12.8,4.5,7,"Neutron shielding material, Low activation properties, Aerospace nuclear applications","Materials Transactions 44(5):974-979, Nuclear Engineering and Design 265:902-910, Journal of Nuclear Materials 416:303-308"
,Alumina-Zirconia-Silica (AZS),Ultra-High Temperature Ceramic,Al2O3-ZrO2-SiO2,Ceramic,4.05,310,280,2000,2.7,0.85,380,0.22,145,5.5,5.4,1.0E13,10,"Thermal protection systems, Re-entry vehicle nose tips, Multi-phase ceramic with superior thermal shock resistance","NASA Technical Paper 3266, Journal of the European Ceramic Society 39:1795-1810, International Journal of Applied Ceramic Technology 16:1218-1231"
,Ti-15-3-3-3,Beta Titanium Alloy,Ti-15V-3Cr-3Sn-3Al,Alloy,4.76,1200,1105,1540,8.1,0.59,103,0.31,815,70,8.2,138,8,"High strength fastener material, Cold formable sheet product, Superior hydrogen embrittlement resistance","TIMET Corporation Technical Data, Titanium Technology in Aerospace (ASTM STP 1195), Materials Science and Engineering: A 610:69-76"
,Beryllium S-200F,High-Purity Structural Beryllium,Be-99%,Metal,1.85,345,240,1285,216,1.92,303,0.08,175,10,11.5,4.0,6,"Space telescope structural material, Extraordinarily high specific stiffness, X-ray transparent properties","Materion Technical Data Sheet, ASM Specialty Handbook: Light Metals, Journal of Materials Processing Technology 214:2362-2371"
,LI-900,Space Shuttle Tile Material,SiO2,Ceramic,0.144,0.66,0.48,1760,0.05,0.75,0.83,0.2,0.3,0.04,0.54,1.0E16,10,"Ultra-lightweight thermal protection system, 94% void volume, Thermal shock resistant","NASA Contractor Report 4227, AIAA Journal of Spacecraft and Rockets 46:920-930, Journal of the American Ceramic Society 92:1456-1461"
,Magnesium AZ31B,Magnesium-Aluminum-Zinc Alloy,Mg-3Al-1Zn,Alloy,1.77,290,220,605,96,1.05,45,0.35,140,17,26.0,9.2,5,"Ultra-lightweight structural material, Good specific strength, Excellent machinability","ASM Specialty Handbook: Magnesium and Magnesium Alloys, ASTM B90/B90M, Materials Science and Engineering: A 527:2738-2746"
,Hexoloy SA,Sintered Alpha Silicon Carbide,SiC,Ceramic,3.15,380,360,2830,125,0.67,410,0.17,250,4.0,4.4,1.0E7,10,"Extreme wear resistance, Ultra-high temperature stability, Superior thermal shock resistance","Saint-Gobain Performance Ceramics Technical Data, Advanced Engineering Materials 18:1511-1517, Journal of the European Ceramic Society 40:4523-4531"
,Incoloy MA956,Oxide Dispersion Strengthened Superalloy,Fe-20Cr-4.5Al-0.5Y2O3,Alloy,7.25,650,585,1480,21.0,0.48,269,0.31,415,40,12.5,132,9,"Exceptional high-temperature creep strength, Oxidation resistant to 1300°C, Radiation resistant for nuclear applications","Special Metals Corporation Technical Data, Materials Science and Engineering: A 387-389:465-470, Journal of Nuclear Materials 417:104-107"
,Hafnium Diboride,Ultra-High Temperature Ceramic,HfB2,Ceramic,11.2,800,780,3250,104,0.25,530,0.12,290,5.5,6.3,10.0,9,"Hypersonic vehicle leading edge material, Ultra-high melting point, Exceptional oxidation resistance in extreme environments","NASA Technical Report NASA/TM-2012-217645, Journal of the American Ceramic Society 96:1536-1550, Materials Science and Engineering: A 558:663-671"
,Araldite LY1564,Aerospace Epoxy Resin,C21H25ClO5,Polymer,1.16,65,62,200,0.21,1.7,3.5,0.38,35,0.9,65.0,1.0E15,6,"Advanced composite matrix material, High glass transition temperature, Controlled cure cycle for reduced stress","Huntsman Advanced Materials Technical Datasheet, Composites Part A: Applied Science and Manufacturing 56:280-289, ASM Handbook Vol 21: Composites"
,Vespel SP-1,Polyimide High-Performance Plastic,C22H10N2O5,Polymer,1.43,86,83,370,0.35,1.13,3.6,0.41,38,1.5,47.0,1.0E17,9,"Satellite bearing cage material, Self-lubricating, Extreme temperature stability from cryogenic to 300°C","DuPont Performance Materials Technical Data, Journal of Applied Polymer Science 135:46068, Tribology International 97:478-489"
,RA330,Heat Resistant Austenitic Alloy,Fe-19Cr-35Ni-1.25Si,Alloy,8.0,550,240,1390,14.0,0.46,196,0.31,185,90,17.3,96,8,"Exceptional cyclic oxidation resistance, Thermal fatigue resistant, High-temperature furnace components","Rolled Alloys Technical Data Sheet, High Temperature Materials and Processes 37:649-658, Journal of Materials Research and Technology 9:5772-5781"
,VS-50 Carbon-Carbon,2D Carbon-Carbon Composite,C-C,Composite,1.85,480,350,3500,135,0.71,100,0.26,210,16,1.2,6.0,8,"Aircraft brake disc material, Superior thermal energy absorption, Maintains strength at 1000°C","Honeywell Aerospace Technical Data, AIAA Paper 2018-3841, Journal of Composite Materials 52:3549-3560"
,ULTEM 9085,Polyetherimide High-Performance Thermoplastic,C37H24O6N2,Polymer,1.27,71.6,69,217,0.18,1.9,2.77,0.4,53,1.8,47.0,1.0E16,6,"3D-printable aerospace polymer, Self-extinguishing flame retardance, FAA-certified for aircraft interiors","Stratasys Technical Data Sheet, Additive Manufacturing 22:127-138, Journal of Thermoplastic Composite Materials 31:1598-1612"
,Cesic,Carbon Fiber Reinforced Silicon Carbide,C-SiC,Ceramic,2.95,240,220,2000,150,0.7,260,0.21,110,20,2.3,1.0E4,9,"Space telescope mirror substrate, Ultra-high dimensional stability, Near-zero CTE for optical applications","ECM Engineered Ceramic Materials Technical Data, Optical Engineering 48:121806, Journal of the European Ceramic Society 41:1491-1501"
