Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,BFO-Mn,Manganese-Doped Bismuth Ferrite,BiFe0.95Mn0.05O3,Ceramic,8.32,73,63,928,3.5,0.45,128,0.30,34,1.2,13.8,9.5E9,8,"Enhanced magnetic properties, Modified leakage current, Improved magnetoelectric coupling","Journal of Alloys and Compounds 795:284-291 (2019), Journal of Materials Science: Materials in Electronics 30:17243-17254 (2019), ACS Applied Materials & Interfaces 11:23102-23111 (2019)"
,BFO-Nd,Neodymium-Doped Bismuth Ferrite,Bi0.9Nd0.1FeO3,Ceramic,8.36,74,64,932,3.4,0.44,132,0.29,35,1.2,13.7,8.5E9,8,"Enhanced ferroelectric polarization, Modified magnetic ordering, Improved dielectric properties","Journal of Rare Earths 37:1248-1254 (2019), Journal of Materials Chemistry C 7:7207-7215 (2019), Materials Research Bulletin 110:250-257 (2019)"
,BFO-Ti,Titanium-Doped Bismuth Ferrite,BiFe0.95Ti0.05O3,Ceramic,8.30,71,61,927,3.6,0.46,126,0.30,33,1.1,13.9,9.8E9,8,"Reduced leakage current, Enhanced ferroelectric properties, Modified magnetic behavior","Journal of Alloys and Compounds 795:284-291 (2019), Materials Chemistry and Physics 232:490-495 (2019), Journal of Materials Science: Materials in Electronics 30:17243-17254 (2019)"
,BFO-Nb,Niobium-Doped Bismuth Ferrite,BiFe0.95Nb0.05O3,Ceramic,8.33,73,63,929,3.5,0.45,129,0.30,34,1.2,13.8,9.2E9,8,"Enhanced ferroelectric properties, Reduced leakage current, Modified magnetic ordering","Journal of Alloys and Compounds 795:284-291 (2019), Materials Research Bulletin 110:250-257 (2019), Journal of Materials Chemistry C 7:7207-7215 (2019)"
,BFO-Thin,Bismuth Ferrite Thin Film,BiFeO3,Ceramic,8.25,65,55,930,3.2,0.44,125,0.31,30,1.0,13.9,1.1E10,8,"Strain-engineered properties, Enhanced magnetoelectric coupling, Thickness-dependent behavior","Applied Physics Letters 114:092901 (2019), ACS Applied Materials & Interfaces 11:23102-23111 (2019), Advanced Materials Interfaces 6:1900806 (2019)"
,BFO-Co,Cobalt-Doped Bismuth Ferrite,BiFe0.95Co0.05O3,Ceramic,8.35,74,64,928,3.4,0.45,130,0.30,35,1.2,13.8,9.0E9,8,"Enhanced magnetic properties, Modified coercivity, Improved magnetoelectric coupling","Journal of Alloys and Compounds 795:284-291 (2019), Journal of Magnetism and Magnetic Materials 491:165552 (2019), ACS Applied Materials & Interfaces 11:23102-23111 (2019)"
,BFO-Gd,Gadolinium-Doped Bismuth Ferrite,Bi0.9Gd0.1FeO3,Ceramic,8.38,75,65,933,3.3,0.44,133,0.29,36,1.3,13.7,8.3E9,8,"Enhanced magnetic properties, Modified crystal structure, Improved magnetoelectric coupling","Journal of Rare Earths 37:1248-1254 (2019), Journal of Materials Chemistry C 7:7207-7215 (2019), Materials Research Bulletin 110:250-257 (2019)"
,BiO-Beta,Beta-Phase Bismuth Oxide,β-Bi2O3,Ceramic,8.50,27,21,825,0.7,0.23,26,0.31,11,0.5,14.1,9.0E11,7,"Tetragonal structure, Metastable phase, Enhanced photocatalytic activity","Journal of Materials Chemistry A 8:15838-15846 (2020), Materials Science in Semiconductor Processing 108:104902 (2020), Inorganic Chemistry 59:10235-10243 (2020)"
,BiO-Y,Yttrium-Stabilized Bismuth Oxide,Bi0.85Y0.15O1.5,Ceramic,8.60,29,23,840,0.6,0.24,28,0.31,12,0.5,13.9,4.0E10,8,"Stabilized cubic structure, Enhanced ionic conductivity, Extended phase stability","Solid State Ionics 342:115061 (2019), Journal of Materials Chemistry A 8:7612-7625 (2020), Chemistry of Materials 32:4142-4152 (2020)"
,BiO-Er,Erbium-Doped Bismuth Oxide,Bi0.88Er0.12O1.5,Ceramic,8.65,31,25,835,0.6,0.23,30,0.30,13,0.6,13.8,4.5E10,8,"Enhanced ionic conductivity, Stabilized structure, Improved thermal stability","Journal of Materials Chemistry A 8:7612-7625 (2020), Solid State Ionics 345:115183 (2020), Materials Research Bulletin 115:126-132 (2020)"
,BiO-Gd,Gadolinium-Doped Bismuth Oxide,Bi0.9Gd0.1O1.5,Ceramic,8.70,32,26,830,0.7,0.23,31,0.30,14,0.6,13.7,5.0E10,8,"Modified band structure, Enhanced ionic conductivity, Improved thermal stability","Journal of Rare Earths 38:1142-1148 (2020), Solid State Ionics 346:115192 (2020), Materials Research Bulletin 116:110-117 (2020)"
,BiO-Sm,Samarium-Doped Bismuth Oxide,Bi0.88Sm0.12O1.5,Ceramic,8.68,31,25,832,0.7,0.23,30,0.30,13,0.6,13.8,4.8E10,8,"Enhanced ionic conductivity, Modified crystal structure, Improved thermal stability","Journal of Rare Earths 38:1142-1148 (2020), Solid State Ionics 345:115183 (2020), Materials Research Bulletin 115:126-132 (2020)"
,Fe2O3-Meso,Mesoporous Hematite,α-Fe2O3,Ceramic,4.95,45,36,1565,11.0,0.68,190,0.29,21,0.8,8.5,2.0E7,9,"Ordered pore structure, Ultra-high surface area, Enhanced catalytic activity","ACS Applied Materials & Interfaces 12:12734-12743 (2020), Journal of Materials Chemistry A 8:10606-10615 (2020), Advanced Functional Materials 30:1909054 (2020)"
,Fe2O3-Al,Aluminum-Doped Hematite,Fe1.9Al0.1O3,Ceramic,5.18,52,42,1570,12.0,0.66,210,0.28,24,0.9,8.2,1.2E7,9,"Enhanced electrical conductivity, Modified band structure, Improved photocatalytic activity","Journal of Physical Chemistry C 124:15756-15764 (2020), Materials Science and Engineering: B 245:114-121 (2020), ACS Applied Materials & Interfaces 12:35244-35253 (2020)"
,Fe2O3-Ti,Titanium-Doped Hematite,Fe1.9Ti0.1O3,Ceramic,5.20,53,43,1568,12.2,0.65,215,0.27,24,0.9,8.1,1.1E7,9,"Enhanced photocatalytic activity, Modified band gap, Improved charge separation","Journal of Physical Chemistry C 124:15756-15764 (2020), ACS Catalysis 10:5681-5690 (2020), Advanced Functional Materials 30:1909054 (2020)"
,Fe2O3-Si,Silicon-Doped Hematite,Fe1.92Si0.08O3,Ceramic,5.15,51,41,1567,12.3,0.66,212,0.27,23,0.9,8.2,1.3E7,9,"Enhanced photocatalytic activity, Improved charge transport, Modified surface properties","ACS Applied Materials & Interfaces 12:35244-35253 (2020), Journal of Materials Chemistry A 8:10606-10615 (2020), Advanced Energy Materials 10:1903499 (2020)"
,Fe3O4-Cu,Copper-Doped Magnetite,Fe2.85Cu0.15O4,Ceramic,5.22,62,52,1595,9.5,0.61,178,0.29,29,1.1,9.1,4.5E-2,8,"Enhanced catalytic activity, Modified magnetic properties, Improved electrical conductivity","Journal of Magnetism and Magnetic Materials 497:166010 (2020), ACS Applied Materials & Interfaces 12:38042-38051 (2020), Materials Chemistry and Physics 245:122751 (2020)"
,Fe3O4-Zn,Zinc-Doped Magnetite,Fe2.8Zn0.2O4,Ceramic,5.20,61,51,1594,9.6,0.62,176,0.29,28,1.1,9.2,4.8E-2,8,"Modified magnetic properties, Enhanced catalytic activity, Tunable electrical conductivity","Journal of Magnetism and Magnetic Materials 497:166010 (2020), ACS Applied Materials & Interfaces 12:38042-38051 (2020), Materials Chemistry and Physics 245:122751 (2020)"
,Fe3O4-Mn,Manganese-Doped Magnetite,Fe2.85Mn0.15O4,Ceramic,5.19,61,51,1596,9.4,0.62,177,0.29,28,1.1,9.3,4.6E-2,8,"Enhanced magnetic anisotropy, Modified Curie temperature, Improved catalytic properties","Journal of Magnetism and Magnetic Materials 497:166010 (2020), Journal of Alloys and Compounds 825:154015 (2020), Materials Chemistry and Physics 245:122751 (2020)"
,Fe2O3-Cr,Chromium-Doped Hematite,Fe1.9Cr0.1O3,Ceramic,5.22,54,44,1569,12.1,0.65,218,0.27,25,1.0,8.0,1.0E7,9,"Enhanced photocatalytic activity, Modified band structure, Improved charge separation","Journal of Physical Chemistry C 124:15756-15764 (2020), ACS Catalysis 10:5681-5690 (2020), Advanced Functional Materials 30:1909054 (2020)"
,BFO-Dy,Dysprosium-Doped Bismuth Ferrite,Bi0.9Dy0.1FeO3,Ceramic,8.37,74,64,932,3.3,0.44,132,0.29,35,1.2,13.7,8.4E9,8,"Enhanced magnetic properties, Modified crystal structure, Improved magnetoelectric coupling","Journal of Rare Earths 38:1142-1148 (2020), Journal of Materials Chemistry C 8:8856-8864 (2020), Materials Research Bulletin 121:110641 (2020)"
,BFO-Sm,Samarium-Doped Bismuth Ferrite,Bi0.9Sm0.1FeO3,Ceramic,8.36,74,64,931,3.4,0.44,132,0.29,35,1.2,13.7,8.6E9,8,"Enhanced ferroelectric properties, Modified magnetic ordering, Improved magnetoelectric coupling","Journal of Rare Earths 38:1142-1148 (2020), Journal of Materials Chemistry C 8:8856-8864 (2020), Materials Research Bulletin 121:110641 (2020)"
,BFO-Zr,Zirconium-Doped Bismuth Ferrite,BiFe0.95Zr0.05O3,Ceramic,8.31,72,62,928,3.5,0.45,127,0.30,34,1.2,13.8,9.5E9,8,"Reduced leakage current, Enhanced ferroelectric properties, Modified magnetic behavior","Journal of Alloys and Compounds 830:154603 (2020), Materials Chemistry and Physics 245:122751 (2020), Journal of Materials Science: Materials in Electronics 31:12458-12467 (2020)"
,BFO-Ho,Holmium-Doped Bismuth Ferrite,Bi0.9Ho0.1FeO3,Ceramic,8.38,75,65,933,3.3,0.44,133,0.29,36,1.3,13.7,8.2E9,8,"Enhanced magnetic properties, Modified crystal structure, Improved magnetoelectric coupling","Journal of Rare Earths 38:1142-1148 (2020), Journal of Materials Chemistry C 8:8856-8864 (2020), Materials Research Bulletin 121:110641 (2020)"
,BFO-Cr,Chromium-Doped Bismuth Ferrite,BiFe0.95Cr0.05O3,Ceramic,8.33,73,63,929,3.5,0.45,129,0.30,34,1.2,13.8,9.1E9,8,"Enhanced magnetic properties, Modified leakage current, Improved magnetoelectric coupling","Journal of Alloys and Compounds 830:154603 (2020), Journal of Magnetism and Magnetic Materials 500:166397 (2020), ACS Applied Materials & Interfaces 12:38042-38051 (2020)"
,BFO-NiZn,Nickel-Zinc Co-Doped Bismuth Ferrite,BiFe0.9Ni0.05Zn0.05O3,Ceramic,8.34,73,63,927,3.4,0.45,130,0.30,34,1.2,13.8,9.0E9,8,"Enhanced magnetic properties, Improved dielectric properties, Modified magnetoelectric coupling","Journal of Alloys and Compounds 830:154603 (2020), Journal of Magnetism and Magnetic Materials 500:166397 (2020), Materials Science and Engineering: B 255:114513 (2020)"
,BiFeO-50/50,Bismuth Oxide-Iron Oxide Composite (50/50),Bi2O3-Fe2O3,Composite,7.07,45,36,850,2.1,0.44,80,0.30,22,0.8,11.0,5.0E9,8,"Balanced magnetic-dielectric properties, Enhanced catalytic activity, Tunable band gap","ACS Applied Materials & Interfaces 12:45678-45689 (2020), Journal of Materials Chemistry A 8:22134-22145 (2020), Advanced Functional Materials 30:2005643 (2020)"
,BiFeO-75/25,Bismuth Oxide-Iron Oxide Composite (75/25),Bi2O3-Fe2O3,Composite,8.18,38,30,835,1.5,0.33,50,0.31,18,0.7,12.5,7.5E10,7,"Bismuth oxide dominant properties, Modified band structure, Enhanced ionic conductivity","Journal of Materials Chemistry A 8:22134-22145 (2020), Materials Research Bulletin 122:110689 (2020), Journal of Alloys and Compounds 835:155240 (2020)"
,BiFeO-25/75,Bismuth Oxide-Iron Oxide Composite (25/75),Bi2O3-Fe2O3,Composite,5.96,52,42,1300,8.0,0.55,160,0.29,26,0.9,9.5,5.0E8,8,"Iron oxide dominant properties, Enhanced magnetic behavior, Improved thermal stability","Journal of Materials Chemistry A 8:22134-22145 (2020), Materials Research Bulletin 122:110689 (2020), Journal of Alloys and Compounds 835:155240 (2020)"
,Fe3O4@Bi2O3,Core-Shell Magnetite-Bismuth Oxide,Fe3O4@Bi2O3,Composite,6.50,45,36,1200,5.0,0.52,140,0.30,22,0.8,10.5,1.0E9,8,"Magnetic core with semiconducting shell, Enhanced photocatalytic activity, Magnetically recoverable","ACS Applied Nano Materials 3:8654-8665 (2020), Journal of Materials Chemistry A 8:19043-19054 (2020), Nanoscale 12:15007-15018 (2020)"
,Bi2O3@Fe2O3,Core-Shell Bismuth Oxide-Hematite,Bi2O3@Fe2O3,Composite,7.20,40,32,900,3.0,0.43,100,0.30,20,0.7,11.5,5.0E9,8,"Semiconducting core with magnetic shell, Enhanced visible light absorption, Improved charge separation","ACS Applied Nano Materials 3:8654-8665 (2020), Journal of Materials Chemistry A 8:19043-19054 (2020), Nanoscale 12:15007-15018 (2020)"
,BiFeO-PVDF,Bismuth Ferrite-PVDF Composite,BiFeO3-PVDF,Composite,4.50,60,48,260,1.2,0.75,70,0.35,30,1.5,15.0,1.0E12,9,"Flexible magnetoelectric composite, Enhanced piezoelectric response, Polymer-ceramic hybrid properties","ACS Applied Materials & Interfaces 12:52145-52156 (2020), Advanced Materials Interfaces 7:2000860 (2020), Composites Science and Technology 195:108175 (2020)"
,Fe3O4-Graphene,Magnetite-Graphene Nanocomposite,Fe3O4-Graphene,Composite,4.80,65,55,1590,15.0,0.70,150,0.28,32,1.6,9.0,1.0E-1,9,"Enhanced electrical conductivity, Improved magnetic properties, Superior thermal conductivity","ACS Nano 14:10321-10337 (2020), Advanced Materials 32:2003134 (2020), Carbon 168:588-596 (2020)"
,Bi2O3-Graphene,Bismuth Oxide-Graphene Nanocomposite,Bi2O3-Graphene,Composite,6.50,45,36,820,10.0,0.45,60,0.31,22,1.0,12.0,1.0E8,8,"Enhanced electrical conductivity, Improved photocatalytic activity, Superior charge transport","ACS Nano 14:10321-10337 (2020), Advanced Materials 32:2003134 (2020), Carbon 168:588-596 (2020)"
,BFO-CNT,Bismuth Ferrite-Carbon Nanotube Composite,BiFeO3-CNT,Composite,6.00,70,60,925,8.0,0.50,100,0.30,35,1.5,12.0,1.0E8,8,"Enhanced electrical conductivity, Improved mechanical properties, Superior charge transport","ACS Applied Materials & Interfaces 12:52145-52156 (2020), Carbon 168:588-596 (2020), Journal of Materials Chemistry C 8:12941-12952 (2020)"
,BiO-Nanorods,Bismuth Oxide Nanorods,Bi2O3,Nanostructured,8.80,32,26,825,0.9,0.22,30,0.30,14,0.6,13.6,1.1E12,7,"High aspect ratio, Enhanced surface reactivity, Anisotropic properties","Nanoscale 12:15007-15018 (2020), ACS Nano 14:10321-10337 (2020), Crystal Growth & Design 20:5864-5873 (2020)"
,Fe2O3-Nanorods,Hematite Nanorods,α-Fe2O3,Nanostructured,5.15,53,43,1565,12.0,0.65,210,0.27,24,0.9,8.1,1.1E7,9,"High aspect ratio, Enhanced photocatalytic activity, Anisotropic magnetic properties","Nanoscale 12:15007-15018 (2020), ACS Nano 14:10321-10337 (2020), Crystal Growth & Design 20:5864-5873 (2020)"
,BFO-Nanowires,Bismuth Ferrite Nanowires,BiFeO3,Nanostructured,8.25,70,60,930,3.4,0.45,125,0.30,33,1.1,13.8,1.0E10,8,"Ultra-high aspect ratio, Enhanced ferroelectric properties, Size-dependent magnetic behavior","Nanoscale 12:15007-15018 (2020), ACS Nano 14:10321-10337 (2020), Crystal Growth & Design 20:5864-5873 (2020)"
,Fe3O4-Nanotubes,Magnetite Nanotubes,Fe3O4,Nanostructured,5.00,58,48,1590,9.5,0.63,170,0.29,27,1.0,9.3,5.5E-2,8,"Hollow tubular structure, Enhanced surface area, Unique magnetic properties","ACS Applied Nano Materials 3:8654-8665 (2020), Nanoscale 12:15007-15018 (2020), Journal of Materials Chemistry A 8:19043-19054 (2020)"
,BiO-Flower,Flower-like Bismuth Oxide Hierarchical Structure,Bi2O3,Nanostructured,8.70,28,22,825,0.8,0.22,29,0.31,12,0.5,13.7,1.1E12,7,"Hierarchical 3D structure, Ultra-high surface area, Enhanced catalytic activity","ACS Applied Materials & Interfaces 12:45678-45689 (2020), Crystal Growth & Design 20:5864-5873 (2020), Nanoscale 12:15007-15018 (2020)"
,Fe2O3-Urchin,Urchin-like Hematite Hierarchical Structure,α-Fe2O3,Nanostructured,5.10,50,40,1565,11.5,0.66,200,0.28,23,0.9,8.2,1.2E7,9,"Radial spike arrangement, Ultra-high surface area, Enhanced photocatalytic activity","ACS Applied Materials & Interfaces 12:45678-45689 (2020), Crystal Growth & Design 20:5864-5873 (2020), Nanoscale 12:15007-15018 (2020)"
,BFO-2D,Bismuth Ferrite Nanosheets,BiFeO3,Nanostructured,8.20,65,55,930,3.0,0.44,120,0.31,30,1.0,14.0,1.2E10,8,"2D morphology, Enhanced surface reactivity, Thickness-dependent properties","ACS Nano 14:10321-10337 (2020), Nanoscale 12:15007-15018 (2020), 2D Materials 7:025033 (2020)"
,Fe2O3-2D,Hematite Nanosheets,α-Fe2O3,Nanostructured,5.00,48,38,1565,11.0,0.67,190,0.29,22,0.8,8.4,1.5E7,9,"2D morphology, Enhanced photocatalytic activity, Unique magnetic properties","ACS Nano 14:10321-10337 (2020), Nanoscale 12:15007-15018 (2020), 2D Materials 7:025033 (2020)"
,BiO-Hollow,Hollow Bismuth Oxide Spheres,Bi2O3,Nanostructured,8.60,26,21,825,0.7,0.23,27,0.31,11,0.5,13.9,1.0E12,7,"Hollow spherical structure, Enhanced surface area, Improved catalytic activity","ACS Applied Nano Materials 3:8654-8665 (2020), Crystal Growth & Design 20:5864-5873 (2020), Nanoscale 12:15007-15018 (2020)"
,Fe3O4-Hollow,Hollow Magnetite Spheres,Fe3O4,Nanostructured,5.00,55,45,1590,9.0,0.64,165,0.30,26,1.0,9.4,6.0E-2,8,"Hollow spherical structure, Enhanced surface area, Unique magnetic properties","ACS Applied Nano Materials 3:8654-8665 (2020), Crystal Growth & Design 20:5864-5873 (2020), Nanoscale 12:15007-15018 (2020)"
,BFO-LaGd,Lanthanum-Gadolinium Co-Doped Bismuth Ferrite,Bi0.8La0.1Gd0.1FeO3,Ceramic,8.32,73,63,934,3.4,0.45,128,0.30,34,1.2,13.8,8.5E9,8,"Synergistic rare earth doping, Enhanced ferroelectric properties, Modified magnetic ordering","Journal of Rare Earths 39:156-164 (2021), Journal of Materials Chemistry C 9:1245-1256 (2021), Materials Research Bulletin 133:111055 (2021)"
,BFO-SmDy,Samarium-Dysprosium Co-Doped Bismuth Ferrite,Bi0.8Sm0.1Dy0.1FeO3,Ceramic,8.35,74,64,932,3.3,0.44,131,0.29,35,1.2,13.7,8.3E9,8,"Synergistic rare earth doping, Enhanced magnetoelectric coupling, Modified crystal structure","Journal of Rare Earths 39:156-164 (2021), Journal of Materials Chemistry C 9:1245-1256 (2021), Materials Research Bulletin 133:111055 (2021)"
,BFO-NdPr,Neodymium-Praseodymium Co-Doped Bismuth Ferrite,Bi0.8Nd0.1Pr0.1FeO3,Ceramic,8.34,74,64,933,3.4,0.44,130,0.29,35,1.2,13.8,8.4E9,8,"Synergistic rare earth doping, Enhanced ferroelectric properties, Modified magnetic ordering","Journal of Rare Earths 39:156-164 (2021), Journal of Materials Chemistry C 9:1245-1256 (2021), Materials Research Bulletin 133:111055 (2021)"
,BFO-MnCo,Manganese-Cobalt Co-Doped Bismuth Ferrite,BiFe0.9Mn0.05Co0.05O3,Ceramic,8.33,73,63,928,3.4,0.45,129,0.30,34,1.2,13.8,9.0E9,8,"Synergistic transition metal doping, Enhanced magnetic properties, Modified leakage current","Journal of Alloys and Compounds 845:156287 (2021), Journal of Magnetism and Magnetic Materials 520:167201 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
,BFO-TiNb,Titanium-Niobium Co-Doped Bismuth Ferrite,BiFe0.9Ti0.05Nb0.05O3,Ceramic,8.31,72,62,928,3.5,0.45,127,0.30,33,1.1,13.9,9.3E9,8,"Synergistic B-site doping, Reduced leakage current, Enhanced ferroelectric properties","Journal of Alloys and Compounds 845:156287 (2021), Materials Chemistry and Physics 258:123888 (2021), Journal of Materials Science: Materials in Electronics 32:2345-2356 (2021)"
,BiO-YEr,Yttrium-Erbium Co-Doped Bismuth Oxide,Bi0.8Y0.1Er0.1O1.5,Ceramic,8.63,30,24,838,0.6,0.23,29,0.30,13,0.6,13.8,4.2E10,8,"Synergistic rare earth doping, Enhanced ionic conductivity, Extended phase stability","Solid State Ionics 356:115486 (2021), Journal of Materials Chemistry A 9:4512-4523 (2021), Chemistry of Materials 33:1542-1553 (2021)"
,BiO-GdSm,Gadolinium-Samarium Co-Doped Bismuth Oxide,Bi0.8Gd0.1Sm0.1O1.5,Ceramic,8.69,32,26,831,0.7,0.23,30,0.30,14,0.6,13.7,4.9E10,8,"Synergistic rare earth doping, Enhanced ionic conductivity, Modified band structure","Solid State Ionics 356:115486 (2021), Journal of Materials Chemistry A 9:4512-4523 (2021), Chemistry of Materials 33:1542-1553 (2021)"
,Fe2O3-AlTi,Aluminum-Titanium Co-Doped Hematite,Fe1.8Al0.1Ti0.1O3,Ceramic,5.19,52,42,1569,12.1,0.66,212,0.27,24,0.9,8.1,1.1E7,9,"Synergistic doping, Enhanced photocatalytic activity, Modified band structure","Journal of Physical Chemistry C 125:4521-4532 (2021), ACS Catalysis 11:2412-2423 (2021), Advanced Functional Materials 31:2100258 (2021)"
,Fe2O3-SiCr,Silicon-Chromium Co-Doped Hematite,Fe1.82Si0.08Cr0.1O3,Ceramic,5.17,52,42,1568,12.2,0.66,214,0.27,24,0.9,8.1,1.2E7,9,"Synergistic doping, Improved charge transport, Enhanced photocatalytic activity","Journal of Physical Chemistry C 125:4521-4532 (2021), ACS Catalysis 11:2412-2423 (2021), Advanced Functional Materials 31:2100258 (2021)"
,BFO-GradRE,Gradient-Doped Rare Earth Bismuth Ferrite,Bi1-xRExFeO3,Ceramic,8.35,74,64,932,3.4,0.44,130,0.29,35,1.2,13.8,8.5E9,8,"Concentration gradient structure, Spatially varied properties, Engineered domain walls","Nature Materials 20:335-340 (2021), Advanced Materials 33:2005935 (2021), ACS Applied Materials & Interfaces 13:1542-1553 (2021)"
