Use Case,Industry,Commercial Name,Chemical Name,Chemical Formula,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Property Overlap,References
Expansion Joint Sealants,Construction,Silicone Sealants,Polysiloxane,(C2H6OSi)n,,,,,UV resistance; flexibility; weather resistance,Application of Sealants in Construction
Thermal Interface Materials,Electronics,Silicone Pads,Polysiloxane,(C2H6OSi)n,,,,,Thermal conductivity; electrical insulation; flexibility,Silicone
High-Pressure Seals,Oil & Gas,Duron® Seals,PTFE-based Composite,(C2F4)n,,,,,High pressure resistance; chemical resistance; low friction,Industrial Sealing Applications
Dairy Processing Equipment Seals,Food & Beverage,Nitrile Rubber Seals,Nitrile Butadiene Rubber (NBR),(C3H3N C4H6)n,,,,,Food-grade compliance; oil resistance; flexibility,7 Applications Areas that Use Industrial Seals
Turbine Blade Tip Seals,Power Generation,High-Temperature Alloys,Nickel-based Superalloy,Varies,,,,,High temperature resistance; oxidation resistance; mechanical strength,Sealing Solutions for Your Application
Underwater Cable Seals,Marine,Polyurethane Sealants,Polyurethane,(C3H8N2O)n,,,,,Water resistance; flexibility; adhesion,Sealants for Bonding and Sealing Applications
Chemical Reactor Gaskets,Industrial,PTFE Gaskets,Polytetrafluoroethylene,(C2F4)n,,,,,Chemical resistance; temperature stability; low friction,Gasket
O-rings,"Industrial, Automotive, Aerospace",Buna-N,Nitrile Butadiene Rubber (NBR),(C3H3N C4H6)n,40-90,10-20,300-600,-40 to 120,Excellent resistance to petroleum products; good compression set; tear and abrasion resistance,https://knowledge.callapg.com/blog/understanding-o-ring-materials
Seals,"Industrial, Automotive, Aerospace",Viton™,Fluoroelastomer (FKM),(C2H2F2)n,60-90,10-20,150-300,-26 to 205,High temperature resistance; excellent chemical resistance; low gas permeability,https://www.wyattseal.com/blog/5-common-materials-industrial-o-rings
Hoses,"Industrial, Automotive",Neoprene,Chloroprene Rubber (CR),(C4H5Cl)n,25-90,10-20,300-600,-40 to 107,Moderate oil resistance; good ozone and weather resistance; good compression set,https://knowledge.callapg.com/blog/understanding-o-ring-materials
Gaskets,"Industrial, Oil & Gas, Aerospace",Silicone,Silicone Rubber,(C2H6OSi)n,30-90,5-10,100-700,-60 to 232,Excellent weather and ozone resistance; wide temperature range; poor tensile and tear strength,https://knowledge.callapg.com/blog/understanding-o-ring-materials
Automotive Fuel Hoses,Automotive,"Therban, Zetpol",Hydrogenated Nitrile Butadiene Rubber (HNBR),(C3H3N C4H6)n,70-90,20-31,150-300,-40 to 165,Superior heat and ozone resistance; excellent mechanical properties; good oil resistance,https://en.wikipedia.org/wiki/Nitrile_rubber
Roofing Membranes,Construction,EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,"Excellent resistance to heat, ozone, and weather; good flexibility at low temperatures; poor oil resistance",https://en.wikipedia.org/wiki/EPDM_rubber
Medical Tubing,"Medical, Pharmaceutical",Tygon,Polyvinyl Chloride (PVC),(C2H3Cl)n,50-90,5-10,200-400,-30 to 80,Good flexibility; biocompatibility; chemical resistance,https://en.wikipedia.org/wiki/Polyvinyl_chloride
Industrial Belts,"Manufacturing, Industrial",Kevlar,Aramid,(C14H10N2O2)n,60-80,100-150,2-4,-40 to 150,High tensile strength; abrasion resistance; heat resistance,https://en.wikipedia.org/wiki/Aramid
Electrical Insulation,"Electronics, Electrical",Kapton,Polyimide,(C22H10N2O5)n,90-100,200-400,5-10,-269 to 400,Extreme temperature resistance; excellent electrical properties; chemical stability,https://en.wikipedia.org/wiki/Kapton
Protective Gloves,"Safety, Healthcare",Butyl,Isobutylene Isoprene Rubber (IIR),(C4H6 C5H8)n,40-70,7-10,500-700,-55 to 110,Excellent impermeability to gases; good flex properties; good weather and ozone resistance,https://en.wikipedia.org/wiki/Butyl_rubber
Food Processing Seals,Food & Beverage,Teflon,Polytetrafluoroethylene (PTFE),(C2F4)n,50-65,20-40,100-300,-200 to 260,Non-stick properties; high temperature resistance; excellent chemical resistance,https://en.wikipedia.org/wiki/Polytetrafluoroethylene
Chemical Storage Tanks,"Chemical Processing, Industrial",HDPE,High-Density Polyethylene,(C2H4)n,60-80,20-37,500-700,-50 to 80,Excellent chemical resistance; high impact strength; lightweight,https://en.wikipedia.org/wiki/High-density_polyethylene
Automotive Weather Stripping,Automotive,EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,Weather resistance; ozone resistance; flexibility at low temperatures,https://en.wikipedia.org/wiki/EPDM_rubber
Medical Implants,"Medical, Healthcare",UHMWPE,Ultra-High Molecular Weight Polyethylene,(C2H4)n,55-80,25-40,300-600,-250 to 80,Biocompatibility; excellent wear resistance; low friction,https://en.wikipedia.org/wiki/Ultra-high-molecular-weight_polyethylene
Aerospace Components,Aerospace,Peek,Polyether Ether Ketone,(C19H12O3)n,85-95,90-100,5-15,-60 to 250,High temperature resistance; excellent mechanical properties; chemical resistance,https://en.wikipedia.org/wiki/Polyether_ether_ketone
Bulletproof Vests,"Defense, Security",Twaron,Para-Aramid,(C14H10N2O2)n,60-80,150-200,2-4,-40 to 150,High impact resistance; excellent strength-to-weight ratio; thermal stability,https://en.wikipedia.org/wiki/Aramid
Marine Dock Bumpers,Marine,Neoprene,Chloroprene Rubber (CR),(C4H5Cl)n,40-90,10-20,300-600,-40 to 107,High impact absorption; weather resistance; durability,https://en.wikipedia.org/wiki/Neoprene
Cryogenic Seals,"Aerospace, Cryogenics",Kel-F,Polychlorotrifluoroethylene (PCTFE),(C2ClF3)n,75-85,34-48,50-100,-240 to 150,Low moisture absorption; excellent mechanical properties; extreme temperature resistance,https://en.wikipedia.org/wiki/Polychlorotrifluoroethylene
Oil & Gas Pipe Linings,"Oil & Gas, Industrial",PVDF,Polyvinylidene Fluoride,(C2H2F2)n,75-85,50-60,100-200,-30 to 150,High chemical resistance; mechanical strength; UV resistance,https://en.wikipedia.org/wiki/Polyvinylidene_fluoride
Surgical Sutures,Medical,PGA,Polyglycolic Acid,(C2H2O3)n,70-85,40-60,20-40,-40 to 80,Biodegradability; good tensile strength; low tissue reaction,https://en.wikipedia.org/wiki/Polyglycolic_acid
Fuel System Components,"Automotive, Aerospace",Fluorosilicone,Fluorosilicone Rubber (FVMQ),(C2H6Si)n,40-80,5-12,100-500,-60 to 200,Fuel resistance; excellent temperature stability; low compression set,https://en.wikipedia.org/wiki/Fluorosilicone
Cable Insulation,"Electrical, Electronics",XLPE,Cross-linked Polyethylene,(C2H4)n,50-80,15-30,200-500,-50 to 90,High dielectric strength; chemical resistance; flexibility,https://en.wikipedia.org/wiki/Cross-linked_polyethylene
Prosthetic Liners,"Medical, Healthcare",TPE,Thermoplastic Elastomer,(C3H6)n,30-90,5-15,400-800,-40 to 100,Softness and flexibility; biocompatibility; durability,https://en.wikipedia.org/wiki/Thermoplastic_elastomer
Heat Shields,"Aerospace, Automotive",Nomex,Meta-Aramid,(C14H10N2O2)n,60-80,100-150,2-4,-40 to 250,Flame resistance; excellent thermal stability; low flammability,https://en.wikipedia.org/wiki/Nomex
Oil Rig Seals,Oil & Gas,FFKM,Perfluoroelastomer,(C2F4)n,75-95,20-40,100-300,-20 to 300,Exceptional chemical resistance; high temperature resistance; low outgassing,https://en.wikipedia.org/wiki/Perfluoroelastomer
Tire Treads,Automotive,SBR,Styrene-Butadiene Rubber,(C8H8 C4H6)n,55-85,10-25,300-600,-40 to 100,High abrasion resistance; good aging properties; low cost,https://en.wikipedia.org/wiki/Styrene-butadiene
Shock Absorbers,"Automotive, Industrial",PU,Polyurethane,(C2H4N2O)n,40-95,10-50,300-700,-50 to 120,High impact resistance; excellent elasticity; wear resistance,https://en.wikipedia.org/wiki/Polyurethane
Waterproof Clothing,"Apparel, Outdoor Gear",PTFE,Polytetrafluoroethylene,(C2F4)n,50-65,20-40,100-300,-200 to 260,Waterproof; breathable; chemical resistance,https://en.wikipedia.org/wiki/Polytetrafluoroethylene
Membrane Filters,"Water Treatment, Industrial",PES,Polyethersulfone,(C12H10O4S)n,70-85,40-60,50-150,-40 to 180,Excellent chemical resistance; high thermal stability; low protein binding,https://en.wikipedia.org/wiki/Polyethersulfone
Rail Pads,"Transportation, Railways",EVA,Ethylene Vinyl Acetate,(C2H4 C4H6O2)n,30-70,5-15,400-800,-50 to 80,High elasticity; vibration damping; weather resistance,https://en.wikipedia.org/wiki/Ethylene-vinyl_acetate
Medical Face Shields,"Medical, Safety",PC,Polycarbonate,(C15H16O2)n,70-85,50-70,50-150,-40 to 120,High impact resistance; optical clarity; lightweight,https://en.wikipedia.org/wiki/Polycarbonate
Sports Shoe Soles,"Footwear, Sporting Goods",EVA,Ethylene Vinyl Acetate,(C2H4 C4H6O2)n,30-70,5-15,400-800,-50 to 80,Shock absorption; flexibility; lightweight,https://en.wikipedia.org/wiki/Ethylene-vinyl_acetate
Oil and Gas Gaskets,"Oil & Gas, Industrial",FKM,Fluoroelastomer,(C2H2F2)n,60-90,10-20,150-300,-26 to 205,Excellent chemical resistance; high temperature stability; low gas permeability,https://en.wikipedia.org/wiki/Fluoroelastomer
Spacecraft Components,Aerospace,PEEK,Polyether Ether Ketone,(C19H12O3)n,85-95,90-100,5-15,-60 to 250,Extreme temperature resistance; lightweight; excellent mechanical properties,https://en.wikipedia.org/wiki/Polyether_ether_ketone
Fishing Lines,"Sporting Goods, Fishing",Nylon,Polyamide,(C12H22N2O2)n,40-90,50-80,100-300,-40 to 120,High tensile strength; abrasion resistance; lightweight,https://en.wikipedia.org/wiki/Nylon
Adhesives,"Industrial, Manufacturing",Cyanoacrylate,Cyanoacrylate Adhesive,C5H5NO2,,30-40,0-5,-40 to 80,Strong bonding; fast setting; high adhesion strength,https://en.wikipedia.org/wiki/Cyanoacrylate
Industrial Conveyor Belts,"Manufacturing, Industrial",PU,Polyurethane,(C2H4N2O)n,40-95,10-50,300-700,-50 to 120,High wear resistance; elasticity; mechanical durability,https://en.wikipedia.org/wiki/Polyurethane
Window Seals,"Construction, Automotive",EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,Excellent weather resistance; ozone resistance; flexibility,https://en.wikipedia.org/wiki/EPDM_rubber
Touchscreen Displays,Electronics,ITO,Indium Tin Oxide,In2O3 SnO2,,,,-50 to 150,High transparency; electrical conductivity; scratch resistance,https://en.wikipedia.org/wiki/Indium_tin_oxide
Water Pipes,"Construction, Water Management",PVC,Polyvinyl Chloride,(C2H3Cl)n,55-85,20-40,100-300,-30 to 80,Corrosion resistance; durability; chemical resistance,https://en.wikipedia.org/wiki/Polyvinyl_chloride
O-rings for Aerospace,Aerospace,Kalrez,Perfluoroelastomer (FFKM),(C2F4)n,75-95,20-40,100-300,-20 to 327,Extreme temperature resistance; chemical inertness; low outgassing,https://en.wikipedia.org/wiki/Perfluoroelastomer
O-rings for Cryogenic Applications,Cryogenics,PTFE,Polytetrafluoroethylene,(C2F4)n,50-65,20-40,100-300,-200 to 260,Low friction; extreme temperature stability; chemical resistance,https://en.wikipedia.org/wiki/Polytetrafluoroethylene
O-rings for Hydraulic Systems,Hydraulics,Nitrile (NBR),Nitrile Butadiene Rubber,(C3H3N C4H6)n,40-90,10-20,300-600,-40 to 120,Oil resistance; good compression set; durability,https://en.wikipedia.org/wiki/Nitrile_rubber
O-rings for Medical Equipment,Medical,Silicone,Silicone Rubber,(C2H6OSi)n,30-90,5-10,100-700,-60 to 232,Biocompatibility; excellent weather resistance; flexibility,https://en.wikipedia.org/wiki/Silicone_rubber
O-rings for Fuel Injectors,Automotive,Viton™,Fluoroelastomer (FKM),(C2H2F2)n,60-90,10-20,150-300,-26 to 205,High fuel resistance; thermal stability; low permeability,https://en.wikipedia.org/wiki/Fluoroelastomer
O-rings for Steam Seals,Industrial,EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,Excellent heat and steam resistance; ozone resistance; flexibility,https://en.wikipedia.org/wiki/EPDM_rubber
O-rings for High-Pressure Gas Systems,Gas Processing,HNBR,Hydrogenated Nitrile Butadiene Rubber,(C3H3N C4H6)n,70-90,20-31,150-300,-40 to 165,Superior gas resistance; mechanical strength; ozone resistance,https://en.wikipedia.org/wiki/Nitrile_rubber
O-rings for Refrigeration Systems,Refrigeration,Neoprene,Chloroprene Rubber (CR),(C4H5Cl)n,25-90,10-20,300-600,-40 to 107,Good oil resistance; ozone resistance; durability,https://en.wikipedia.org/wiki/Neoprene
O-rings for Semiconductor Manufacturing,Semiconductor,Aflas,Tetrafluoroethylene Propylene Rubber (FEPM),(C2F4 C3H6)n,70-90,10-20,150-300,-20 to 200,High chemical resistance; low contamination; thermal stability,https://en.wikipedia.org/wiki/Fluoroelastomer
O-rings for Drinking Water Systems,Water Treatment,Butyl,Isobutylene Isoprene Rubber (IIR),(C4H6 C5H8)n,40-70,7-10,500-700,-55 to 110,Low permeability; good chemical resistance; water compatibility,https://en.wikipedia.org/wiki/Butyl_rubber
Seals for Rocket Fuel Systems,Aerospace,Kalrez,Perfluoroelastomer (FFKM),(C2F4)n,75-95,20-40,100-300,-20 to 327,Extreme chemical resistance; high-temperature stability; low gas permeability,https://en.wikipedia.org/wiki/Perfluoroelastomer
Seals for Sterile Drug Processing,Pharmaceutical,PTFE,Polytetrafluoroethylene,(C2F4)n,50-65,20-40,100-300,-200 to 260,Non-reactive; high purity; chemical inertness,https://en.wikipedia.org/wiki/Polytetrafluoroethylene
Seals for Offshore Drilling,Oil & Gas,HNBR,Hydrogenated Nitrile Butadiene Rubber,(C3H3N C4H6)n,70-90,20-31,150-300,-40 to 165,Superior heat and ozone resistance; excellent mechanical properties; good oil resistance,https://en.wikipedia.org/wiki/Nitrile_rubber
Seals for Steam Turbines,Power Generation,FKM,Fluoroelastomer,(C2H2F2)n,60-90,10-20,150-300,-26 to 205,High temperature resistance; excellent chemical resistance; low gas permeability,https://en.wikipedia.org/wiki/Fluoroelastomer
Seals for Engine Gaskets,Automotive,Silicone,Silicone Rubber,(C2H6OSi)n,30-90,5-10,100-700,-60 to 232,Excellent weather and ozone resistance; wide temperature range; flexibility,https://en.wikipedia.org/wiki/Silicone_rubber
Seals for Ship Propulsion Systems,Marine,EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,Excellent resistance to saltwater; high ozone resistance; durability,https://en.wikipedia.org/wiki/EPDM_rubber
Seals for Reactor Coolant Systems,Nuclear,Butyl,Isobutylene Isoprene Rubber (IIR),(C4H6 C5H8)n,40-70,7-10,500-700,-55 to 110,Low permeability; high radiation resistance; durability,https://en.wikipedia.org/wiki/Butyl_rubber
Seals for Corrosive Liquids,Chemical Processing,Aflas,Tetrafluoroethylene Propylene Rubber (FEPM),(C2F4 C3H6)n,70-90,10-20,150-300,-20 to 200,High chemical resistance; thermal stability; low outgassing,https://en.wikipedia.org/wiki/Fluoroelastomer
Seals for Dairy Equipment,Food & Beverage,Neoprene,Chloroprene Rubber (CR),(C4H5Cl)n,25-90,10-20,300-600,-40 to 107,Good abrasion resistance; chemical stability; compliance with food safety standards,https://en.wikipedia.org/wiki/Neoprene
Seals for HVAC Systems,Construction,NBR,Nitrile Butadiene Rubber,(C3H3N C4H6)n,40-90,10-20,300-600,-40 to 120,Oil resistance; good compression set; mechanical durability,https://en.wikipedia.org/wiki/Nitrile_rubber
Hoses for Hydraulic Actuators,Aerospace,PTFE,Polytetrafluoroethylene,(C2F4)n,50-65,20-40,100-300,-200 to 260,High chemical resistance; temperature stability; low friction,https://en.wikipedia.org/wiki/Polytetrafluoroethylene
Hoses for Dialysis Machines,Medical,Silicone,Silicone Rubber,(C2H6OSi)n,30-90,5-10,100-700,-60 to 232,Biocompatibility; sterilization resistance; flexibility,https://en.wikipedia.org/wiki/Silicone_rubber
Hoses for Offshore Oil Transfer,Oil & Gas,HNBR,Hydrogenated Nitrile Butadiene Rubber,(C3H3N C4H6)n,70-90,20-31,150-300,-40 to 165,High oil resistance; thermal stability; mechanical durability,https://en.wikipedia.org/wiki/Nitrile_rubber
Hoses for Coolant Systems,Automotive,EPDM,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,30-90,10-20,300-600,-50 to 150,Heat resistance; ozone resistance; flexibility,https://en.wikipedia.org/wiki/EPDM_rubber
Hoses for Concrete Pumping,Construction,Neoprene,Chloroprene Rubber (CR),(C4H5Cl)n,25-90,10-20,300-600,-40 to 107,Abrasion resistance; flexibility; chemical resistance,https://en.wikipedia.org/wiki/Neoprene
Hoses for Military Vehicles,Defense,NBR,Nitrile Butadiene Rubber,(C3H3N C4H6)n,40-90,10-20,300-600,-40 to 120,Fuel resistance; mechanical durability; flexibility,https://en.wikipedia.org/wiki/Nitrile_rubber
Hoses for Ship Ballast Systems,Marine,FKM,Fluoroelastomer,(C2H2F2)n,60-90,10-20,150-300,-26 to 205,Water resistance; high durability; chemical resistance,https://en.wikipedia.org/wiki/Fluoroelastomer
Hoses for Irrigation Systems,Agriculture,PVC,Polyvinyl Chloride,(C2H3Cl)n,55-85,20-40,100-300,-30 to 80,Weather resistance; lightweight; chemical resistance,https://en.wikipedia.org/wiki/Polyvinyl_chloride
Hoses for Beverage Dispensing,Food & Beverage,TPE,Thermoplastic Elastomer,(C3H6)n,30-90,5-15,400-800,-40 to 100,Food-grade compliance; flexibility; durability,https://en.wikipedia.org/wiki/Thermoplastic_elastomer
Hoses for Chemical Transfer,Industrial,Aflas,Tetrafluoroethylene Propylene Rubber (FEPM),(C2F4 C3H6)n,70-90,10-20,150-300,-20 to 200,Excellent chemical resistance; thermal stability; low permeability,https://en.wikipedia.org/wiki/Fluoroelastomer
Seals for Jet Engines,Aerospace,Kalrez,Perfluoroelastomer (FFKM),(C2F4)n,75-95,20-40,100-300,-20 to 327,Extreme chemical resistance; high-temperature stability; low gas permeability,https://en.wikipedia.org/wiki/Perfluoroelastomer
Seals for Surgical Equipment,Medical,Silicone,Silicone Rubber,(C2H6OSi)n,30-90,5-10,100-700,-60 to 232,Biocompatibility; sterilization resistance; flexibility,https://en.wikipedia.org/wiki/Silicone_rubber
